"Time (s)","Pressure (hPa)"
1.046750061E0,1.016119995E3
1.982554525E0,1.016119995E3
2.918358989E0,1.016109985E3
3.854163453E0,1.016099976E3
4.789967917E0,1.016109985E3
5.725772381E0,1.016119995E3
6.661576845E0,1.016129944E3
7.597381309E0,1.016089966E3
8.533185773E0,1.016109985E3
9.468990237E0,1.016099976E3
1.040479470E1,1.016129944E3
1.134059916E1,1.016149963E3
1.227640363E1,1.016089966E3
1.321220809E1,1.016119995E3
1.414801256E1,1.016139954E3
1.508381702E1,1.016119995E3
1.601962149E1,1.016119995E3
1.695542595E1,1.016119995E3
1.789123041E1,1.016089966E3
1.882703488E1,1.016139954E3
1.976283934E1,1.016139954E3
2.069864380E1,1.016079956E3
2.163444827E1,1.016129944E3
2.257025273E1,1.016149963E3
2.350605720E1,1.016139954E3
2.444186166E1,1.016109985E3
2.537766612E1,1.016099976E3
2.631347059E1,1.016099976E3
2.724927505E1,1.016139954E3
2.818507952E1,1.016119995E3
2.912088398E1,1.016169983E3
3.005668845E1,1.016119995E3
3.099249291E1,1.016109985E3
3.192829737E1,1.016149963E3
3.286410184E1,1.016179993E3
3.379990630E1,1.016119995E3
3.473571076E1,1.016129944E3
3.567151523E1,1.016119995E3
3.660731969E1,1.016139954E3
3.754312416E1,1.016129944E3
3.847892862E1,1.016099976E3
3.941473308E1,1.016179993E3
4.035053755E1,1.016129944E3
4.128634201E1,1.016119995E3
4.222214648E1,1.016119995E3
4.315795094E1,1.016139954E3
4.409375540E1,1.016149963E3
4.502955987E1,1.016159973E3
4.596536433E1,1.016119995E3
4.690116880E1,1.016169983E3
4.783697326E1,1.016089966E3
4.877277773E1,1.016159973E3
4.970858219E1,1.016029968E3
5.064438665E1,1.016049988E3
5.158019112E1,1.016009949E3
5.251599558E1,1.015979980E3
5.345180005E1,1.015979980E3
5.438760451E1,1.015959961E3
5.532340897E1,1.015859985E3
5.625921344E1,1.015869995E3
5.719501790E1,1.015829956E3
5.813082236E1,1.015819946E3
5.906662683E1,1.015779968E3
6.000243129E1,1.015679993E3
6.093823576E1,1.015709961E3
6.187404022E1,1.015679993E3
6.280984468E1,1.015750000E3
6.374564915E1,1.015679993E3
6.468145361E1,1.015709961E3
6.561725808E1,1.015699951E3
6.655306254E1,1.015699951E3
6.748886700E1,1.015729980E3
6.842467147E1,1.015690002E3
6.936047593E1,1.015639954E3
7.029628040E1,1.015690002E3
7.123208486E1,1.015699951E3
7.216788932E1,1.015690002E3
7.310369379E1,1.015690002E3
7.403949825E1,1.015709961E3
7.497530272E1,1.015759949E3
7.591110718E1,1.015690002E3
7.684691164E1,1.015739990E3
