"Time (s)","Pressure (hPa)"
1.046378263E0,1.015979980E3
1.982182727E0,1.016000000E3
2.917987191E0,1.016009949E3
3.853791655E0,1.015969971E3
4.789596119E0,1.016009949E3
5.725400583E0,1.015969971E3
6.661205047E0,1.015989990E3
7.597009511E0,1.016000000E3
8.532813975E0,1.015969971E3
9.468618439E0,1.016019958E3
1.040442290E1,1.016000000E3
1.134022737E1,1.016009949E3
1.227603183E1,1.015979980E3
1.321183630E1,1.016009949E3
1.414764076E1,1.015969971E3
1.508344522E1,1.016019958E3
1.601924969E1,1.015969971E3
1.695505415E1,1.015979980E3
1.789085862E1,1.015940002E3
1.882666308E1,1.016000000E3
1.976246754E1,1.015989990E3
2.069827201E1,1.016009949E3
2.163407647E1,1.015989990E3
2.256988094E1,1.015989990E3
2.350568540E1,1.016029968E3
2.444148986E1,1.016009949E3
2.537729433E1,1.015989990E3
2.631309879E1,1.016019958E3
2.724890326E1,1.016009949E3
2.818470772E1,1.015979980E3
2.912051218E1,1.016000000E3
3.005631665E1,1.015959961E3
3.099212111E1,1.015929993E3
3.192792558E1,1.015989990E3
3.286373004E1,1.015989990E3
3.379953450E1,1.015829956E3
3.473533897E1,1.015979980E3
3.567114343E1,1.015989990E3
3.660694790E1,1.015949951E3
3.754275236E1,1.015940002E3
3.847855682E1,1.015889954E3
3.941436129E1,1.015899963E3
4.035016575E1,1.015829956E3
4.128597022E1,1.015799988E3
4.222177468E1,1.015799988E3
4.315757914E1,1.015739990E3
4.409338361E1,1.015690002E3
4.502918807E1,1.015649963E3
4.596499254E1,1.015629944E3
4.690079700E1,1.015629944E3
4.783660146E1,1.015569946E3
4.877240593E1,1.015539978E3
4.970821039E1,1.015569946E3
5.064401486E1,1.015529968E3
5.157981932E1,1.015539978E3
5.251562378E1,1.015559998E3
5.345142825E1,1.015589966E3
5.438723271E1,1.015569946E3
