"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108666.614,"2024-12-01 19:04:26.614 UTC-08:00"
"PAUSE",5.430738993E1,1733108720.921,"2024-12-01 19:05:20.921 UTC-08:00"
