"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.712637830E-1,3.742437833E1,-1.221711700E2,2.993961446E1,4.169249907E-2,2.263200073E2,1.899999976E0,2.889999962E1
1.271263783E0,3.742437833E1,-1.221711733E2,2.993962126E1,2.717733383E-1,3.355400085E2,3.599999905E0,2.270000076E1
1.844263783E0,3.742438000E1,-1.221711783E2,2.993962697E1,3.026566803E-1,3.588900146E2,3.599999905E0,1.929999924E1
2.344263783E0,3.742438167E1,-1.221711850E2,2.993963608E1,5.203841925E-1,3.259500122E2,3.500000000E0,1.589999962E1
2.844263783E0,3.742439667E1,-1.221711917E2,2.993960921E1,8.884105682E-1,8.779999733E0,3.200000048E0,1.560000038E1
3.344263783E0,3.742440333E1,-1.221711900E2,3.003958782E1,5.219283104E-1,5.530000210E0,2.299999952E0,1.600000000E1
3.844263783E0,3.742440000E1,-1.221711983E2,3.003961382E1,2.568463981E-1,1.156999969E1,2.000000000E0,1.660000038E1
4.844263783E0,3.742440000E1,-1.221712083E2,2.993963423E1,7.000222057E-2,3.328200073E2,1.899999976E0,1.710000038E1
5.844263783E0,3.742440000E1,-1.221712083E2,2.993963423E1,2.573611028E-2,2.912600098E2,1.799999952E0,1.810000038E1
6.844263783E0,3.742440333E1,-1.221712033E2,3.003961503E1,3.654527664E-2,3.734000015E1,1.700000048E0,1.739999962E1
7.844263783E0,3.742440500E1,-1.221712000E2,3.003960373E1,1.492694486E-2,4.438999939E1,1.700000048E0,1.689999962E1
8.844263783E0,3.742440833E1,-1.221711967E2,3.003958793E1,5.404583365E-2,2.832900085E2,1.600000024E0,1.900000000E1
9.844263783E0,3.742441167E1,-1.221711933E2,3.013957213E1,9.110583365E-2,2.814299927E2,1.600000024E0,1.889999962E1
1.084426378E1,3.742441167E1,-1.221711933E2,3.013957213E1,1.662552804E-1,2.335899963E2,1.500000000E0,1.960000038E1
1.184426378E1,3.742441333E1,-1.221711933E2,3.013956763E1,6.897278130E-2,2.231399994E2,1.500000000E0,1.920000076E1
1.284426378E1,3.742441333E1,-1.221711967E2,3.003957444E1,5.816360936E-2,2.212899933E2,1.500000000E0,1.910000038E1
1.384426378E1,3.742441500E1,-1.221711983E2,3.003957334E1,4.014833272E-2,2.560799866E2,1.500000000E0,1.920000076E1
1.484426378E1,3.742441500E1,-1.221712000E2,3.003957674E1,5.044277757E-2,2.772000122E2,1.399999976E0,1.839999962E1
1.584426378E1,3.742441667E1,-1.221712000E2,3.003957224E1,4.220722243E-2,2.846999931E1,1.399999976E0,1.810000038E1
1.684426378E1,3.742441833E1,-1.221712000E2,3.003956775E1,4.992805421E-2,2.221999931E1,1.399999976E0,1.820000076E1
1.784426378E1,3.742441833E1,-1.221711983E2,3.003956434E1,6.536972523E-2,6.265000153E1,1.399999976E0,1.810000038E1
1.884426378E1,3.742441833E1,-1.221711983E2,3.003956434E1,7.154639065E-2,3.599700012E2,1.399999976E0,1.829999924E1
1.984426378E1,3.742441833E1,-1.221712000E2,3.003956775E1,6.125194579E-2,3.596199951E2,1.399999976E0,1.860000038E1
2.084426378E1,3.742441833E1,-1.221711983E2,2.993956434E1,5.353111029E-2,5.979000092E1,1.399999976E0,1.850000000E1
2.184426378E1,3.742441833E1,-1.221711983E2,2.993956434E1,5.764888972E-2,7.026000214E1,1.399999976E0,1.960000038E1
2.284426378E1,3.742442000E1,-1.221711950E2,2.993955304E1,8.956166357E-2,8.223000336E1,1.500000000E0,2.050000000E1
2.384426378E1,3.742442000E1,-1.221711883E2,2.963953944E1,1.559608281E-1,8.515000153E1,1.600000024E0,2.550000000E1
2.484426378E1,3.742441833E1,-1.221711817E2,2.953953033E1,2.362574935E-1,9.070999908E1,1.600000024E0,2.510000038E1
2.584426378E1,3.742441833E1,-1.221711783E2,2.953952352E1,3.047155440E-1,8.491999817E1,1.700000048E0,2.639999962E1
2.684426378E1,3.742441833E1,-1.221711700E2,2.953950651E1,3.927330673E-1,8.680999756E1,1.799999952E0,2.429999924E1
2.784426378E1,3.742441167E1,-1.221711667E2,2.923951770E1,4.503819346E-1,8.744000244E1,1.799999952E0,2.460000038E1
2.884426378E1,3.742441000E1,-1.221711550E2,2.953949838E1,4.889861047E-1,1.067300034E2,1.799999952E0,2.689999962E1
2.984426378E1,3.742440167E1,-1.221711600E2,2.953953108E1,5.121486187E-1,1.258700027E2,1.700000048E0,2.689999962E1
3.084426378E1,3.742439333E1,-1.221711650E2,2.943956377E1,5.409730673E-1,1.372500000E2,1.700000048E0,2.620000076E1
3.184426378E1,3.742439000E1,-1.221711667E2,2.943957617E1,5.620766878E-1,1.277099991E2,1.600000024E0,2.320000076E1
3.284426378E1,3.742438500E1,-1.221711683E2,2.933959307E1,5.569294691E-1,1.270899963E2,1.600000024E0,1.289999962E1
3.384426378E1,3.742437833E1,-1.221711633E2,2.933960085E1,5.281050205E-1,1.322299957E2,1.600000024E0,1.269999981E1
3.484426378E1,3.742437500E1,-1.221711617E2,2.943960644E1,4.858977795E-1,1.342299957E2,1.600000024E0,1.180000019E1
3.584426378E1,3.742437000E1,-1.221711650E2,2.943962674E1,4.668530524E-1,1.414900055E2,1.600000024E0,1.180000019E1
3.684426378E1,3.742436833E1,-1.221711667E2,2.933963464E1,4.102336168E-1,1.485000000E2,1.600000024E0,1.210000038E1
3.784426378E1,3.742436667E1,-1.221711667E2,2.953963914E1,0.000000000E0,1.610399933E2,1.600000024E0,1.200000000E1
3.884426378E1,3.742436667E1,-1.221711650E2,2.963963574E1,0.000000000E0,1.536499939E2,1.600000024E0,1.219999981E1
3.984426378E1,3.742436167E1,-1.221711650E2,2.963964923E1,0.000000000E0,1.835599976E2,1.600000024E0,1.150000000E1
4.084426378E1,3.742436167E1,-1.221711650E2,2.963964923E1,0.000000000E0,1.835599976E2,1.600000024E0,1.139999962E1
4.184426378E1,3.742436167E1,-1.221711650E2,2.963964923E1,0.000000000E0,1.835599976E2,1.600000024E0,1.210000038E1
4.284426378E1,3.742436167E1,-1.221711650E2,2.963964923E1,0.000000000E0,1.835599976E2,1.600000024E0,1.189999962E1
4.384426378E1,3.742436167E1,-1.221711650E2,2.963964923E1,0.000000000E0,1.835599976E2,1.600000024E0,1.160000038E1
4.484426378E1,3.742436167E1,-1.221711650E2,2.963964923E1,0.000000000E0,1.835599976E2,1.600000024E0,1.160000038E1
