"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.305128813E0,3.742436000E1,-1.221711683E2,3.483966053E1,2.048594505E-1,2.209799957E2,4.300000191E0,3.070000076E1
1.805128813E0,3.742436333E1,-1.221711867E2,3.493968896E1,4.184691608E-1,2.236199951E2,4.500000000E0,2.860000038E1
2.305128813E0,3.742436833E1,-1.221712083E2,3.493971969E1,4.086894393E-1,2.143099976E2,4.300000191E0,2.889999962E1
2.805128813E0,3.742437333E1,-1.221712433E2,3.493977764E1,5.471497178E-1,2.180599976E2,3.599999905E0,2.889999962E1
3.305128813E0,3.742439167E1,-1.221712767E2,3.503979620E1,3.886152804E-1,2.284700012E2,2.500000000E0,2.960000038E1
3.805128813E0,3.742439500E1,-1.221712900E2,3.493981442E1,2.748616636E-1,2.315000000E2,2.200000048E0,3.179999924E1
4.805128813E0,3.742439667E1,-1.221712983E2,3.483982693E1,2.887591720E-1,2.314199982E2,2.000000000E0,3.050000000E1
5.805128813E0,3.742440167E1,-1.221713017E2,3.463982024E1,1.312541664E-1,2.192500000E2,1.899999976E0,2.629999924E1
6.805128813E0,3.742440333E1,-1.221713017E2,3.453981574E1,3.706000000E-2,2.089600067E2,1.799999952E0,2.350000000E1
8.326128813E0,3.742440333E1,-1.221713000E2,3.453981234E1,7.412000000E-2,1.336600037E2,1.799999952E0,2.529999924E1
9.326128813E0,3.742440500E1,-1.221712900E2,3.433978743E1,3.397166729E-2,7.244000244E1,1.799999952E0,2.110000038E1
1.032612881E1,3.742440667E1,-1.221712833E2,3.423976933E1,3.911888972E-2,4.329999924E1,1.700000048E0,2.170000076E1
1.132612881E1,3.742440833E1,-1.221712783E2,3.423975462E1,5.507527664E-2,2.110599976E2,1.700000048E0,2.110000038E1
1.232612881E1,3.742441000E1,-1.221712700E2,3.413973311E1,5.456055701E-2,1.324199982E2,1.600000024E0,2.120000076E1
1.332512881E1,3.742441333E1,-1.221712633E2,3.413971051E1,4.786916822E-2,3.054899902E2,1.600000024E0,2.050000000E1
1.432512881E1,3.742441167E1,-1.221712583E2,3.413970480E1,9.779722430E-3,3.513999939E2,1.600000024E0,2.060000038E1
1.532512881E1,3.742441167E1,-1.221712533E2,3.403969460E1,3.551583365E-2,1.433200073E2,1.500000000E0,1.989999962E1
1.632512881E1,3.742440833E1,-1.221712467E2,3.393968999E1,8.698805422E-2,1.359100037E2,1.500000000E0,1.970000076E1
1.732512881E1,3.742440833E1,-1.221712400E2,3.383967638E1,4.117777571E-3,3.363200073E2,1.500000000E0,1.920000076E1
1.832512881E1,3.742440667E1,-1.221712367E2,3.373967407E1,1.029444486E-2,2.528300018E2,1.399999976E0,1.860000038E1
1.932512881E1,3.742440500E1,-1.221712367E2,3.373967857E1,2.728027850E-2,2.627399902E2,1.399999976E0,1.860000038E1
2.032512881E1,3.742440500E1,-1.221712333E2,3.373967177E1,4.786916822E-2,9.723000336E1,1.399999976E0,1.860000038E1
2.132512881E1,3.742440500E1,-1.221712317E2,3.373966837E1,3.911888972E-2,1.034899979E2,1.399999976E0,1.829999924E1
2.232512881E1,3.742440500E1,-1.221712300E2,3.373966496E1,3.603055701E-2,2.454000092E1,1.399999976E0,1.789999962E1
2.332512881E1,3.742440333E1,-1.221712283E2,3.373966606E1,3.191277757E-2,3.319400024E2,1.399999976E0,1.750000000E1
2.432512881E1,3.742440333E1,-1.221712283E2,3.373966606E1,3.448639065E-2,2.778999939E2,1.399999976E0,1.670000076E1
2.532512881E1,3.742440167E1,-1.221712267E2,3.363966716E1,3.242750093E-2,3.362600098E2,1.399999976E0,1.629999924E1
2.632512881E1,3.742440167E1,-1.221712250E2,3.373966375E1,2.522138879E-2,1.318500061E2,1.399999976E0,1.710000038E1
2.732512881E1,3.742440000E1,-1.221712233E2,3.373966485E1,2.728027850E-2,7.345999908E1,1.399999976E0,1.650000000E1
2.832512881E1,3.742440000E1,-1.221712217E2,3.373966145E1,2.933916636E-2,1.120400009E2,1.399999976E0,1.700000000E1
2.932512881E1,3.742439833E1,-1.221712200E2,3.373966254E1,3.294222057E-2,1.337200012E2,1.299999952E0,1.679999924E1
3.032512881E1,3.742440000E1,-1.221712183E2,3.373965464E1,3.345694393E-2,1.358300018E2,1.299999952E0,1.460000038E1
3.132512881E1,3.742439833E1,-1.221712167E2,3.363965574E1,3.294222057E-2,2.869899902E2,1.299999952E0,1.480000019E1
3.232512881E1,3.742440000E1,-1.221712150E2,3.353964784E1,0.000000000E0,2.836199951E2,1.299999952E0,1.500000000E1
3.332512881E1,3.742439833E1,-1.221712150E2,3.343965234E1,0.000000000E0,2.564400024E2,1.299999952E0,1.489999962E1
3.432512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.299999952E0,1.510000038E1
3.532512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.299999952E0,1.550000000E1
3.632512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.589999962E1
3.732512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.299999952E0,1.510000038E1
3.832512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.439999962E1
3.932512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.469999981E1
4.032512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.360000038E1
4.132512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.369999981E1
4.232512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.400000000E1
4.332512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.419999981E1
4.432512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.430000019E1
4.532512881E1,3.742439667E1,-1.221712150E2,3.333965684E1,0.000000000E0,2.283999939E2,1.399999976E0,1.469999981E1
4.632512881E1,3.742436833E1,-1.221712317E2,3.153976732E1,1.616227776E-1,8.745999908E1,1.500000000E0,1.550000000E1
4.732512881E1,3.742436833E1,-1.221712250E2,3.143975371E1,2.239041626E-1,8.023999786E1,1.600000024E0,1.729999924E1
4.832512881E1,3.742436833E1,-1.221712233E2,3.123975031E1,0.000000000E0,1.029100037E2,1.799999952E0,1.779999924E1
4.932512881E1,3.742436667E1,-1.221712217E2,3.143975141E1,0.000000000E0,9.373000336E1,1.799999952E0,1.580000019E1
5.032512881E1,3.742436667E1,-1.221712183E2,3.163974460E1,3.340547085E-1,8.855000305E1,1.799999952E0,1.580000019E1
5.132512881E1,3.742436667E1,-1.221712150E2,3.203973780E1,3.844974935E-1,9.536000061E1,1.700000048E0,1.460000038E1
5.232512881E1,3.742436667E1,-1.221712133E2,3.253973440E1,4.267047346E-1,9.722000122E1,1.700000048E0,1.480000019E1
5.332512881E1,3.742437000E1,-1.221712083E2,3.283971519E1,4.617058337E-1,1.023899994E2,1.600000024E0,1.460000038E1
5.432512881E1,3.742437000E1,-1.221712067E2,3.323971179E1,4.900155663E-1,9.216000366E1,1.600000024E0,1.369999981E1
5.532512881E1,3.742436833E1,-1.221712033E2,3.353970949E1,4.750885963E-1,1.052300034E2,1.500000000E0,1.280000019E1
5.632512881E1,3.742436833E1,-1.221712017E2,3.383970608E1,4.565586150E-1,9.369999695E1,1.500000000E0,1.300000000E1
5.732512881E1,3.742437000E1,-1.221711983E2,3.393969478E1,4.313372076E-1,9.369000244E1,1.500000000E0,1.260000038E1
