"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110739.989,"2024-12-01 19:38:59.989 UTC-08:00"
"PAUSE",6.808051947E1,1733110808.069,"2024-12-01 19:40:08.069 UTC-08:00"
