"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.315487653E0,3.742437500E1,-1.221711950E2,2.903967448E1,1.389750000E-2,1.117600021E2,2.000000000E0,1.600000000E1
1.815487653E0,3.742437500E1,-1.221712000E2,2.903968469E1,1.451516598E-1,3.570400085E2,2.000000000E0,1.310000038E1
2.315487653E0,3.742437500E1,-1.221712100E2,2.903970510E1,1.559608281E-1,3.586400146E2,1.899999976E0,1.310000038E1
2.815487653E0,3.742437500E1,-1.221712100E2,2.913970510E1,1.333130598E-1,2.164999962E1,2.000000000E0,1.310000038E1
3.315487653E0,3.742437167E1,-1.221712150E2,2.923972430E1,1.122094467E-1,3.388000107E1,1.899999976E0,1.280000019E1
3.815487653E0,3.742436667E1,-1.221712017E2,2.963971058E1,2.105213851E-1,8.208999634E1,1.899999976E0,1.319999981E1
4.815487653E0,3.742436333E1,-1.221711950E2,2.963970597E1,1.472105533E-1,6.761000061E1,1.899999976E0,1.369999981E1
5.815487653E0,3.742435833E1,-1.221711950E2,2.963971946E1,6.794333458E-2,5.763999939E1,1.899999976E0,1.380000019E1
6.815487653E0,3.742435667E1,-1.221711983E2,2.963973076E1,3.603055701E-2,3.217900085E2,1.899999976E0,1.339999962E1
7.815487653E0,3.742435667E1,-1.221711950E2,2.963972396E1,9.110583365E-2,2.044400024E2,1.799999952E0,1.369999981E1
9.381487653E0,3.742436000E1,-1.221711967E2,2.943971837E1,9.676777571E-2,1.986399994E2,1.799999952E0,1.350000000E1
1.038148765E1,3.742436000E1,-1.221711950E2,2.943971496E1,4.375138879E-2,2.463800049E2,1.700000048E0,1.360000038E1
1.138348765E1,3.742435667E1,-1.221712033E2,2.943974097E1,1.353719383E-1,2.302799988E2,1.600000024E0,1.500000000E1
1.238348765E1,3.742435667E1,-1.221712100E2,2.953975458E1,4.169249907E-2,3.337300110E2,1.600000024E0,1.560000038E1
1.338348765E1,3.742435667E1,-1.221712150E2,2.963976478E1,6.897278130E-2,8.519000244E1,1.500000000E0,1.450000000E1
1.438348765E1,3.742435667E1,-1.221712200E2,2.963977499E1,7.566417009E-2,7.441000366E1,1.399999976E0,1.360000038E1
1.538348765E1,3.742435833E1,-1.221712217E2,2.973977390E1,4.117777944E-2,7.561000061E1,1.399999976E0,1.300000000E1
1.638348765E1,3.742436000E1,-1.221712250E2,2.983977620E1,1.801527850E-2,1.688999939E1,1.399999976E0,1.239999962E1
1.738348765E1,3.742436167E1,-1.221712267E2,2.993977511E1,2.058888972E-2,3.194000053E1,1.399999976E0,1.200000000E1
1.838348765E1,3.742436333E1,-1.221712283E2,2.993977401E1,1.801527850E-2,2.011000061E1,1.299999952E0,1.460000038E1
1.938348765E1,3.742436500E1,-1.221712300E2,3.003977291E1,2.830972150E-2,8.479999542E0,1.299999952E0,1.430000019E1
2.038348765E1,3.742436833E1,-1.221712317E2,3.003976732E1,4.272194579E-2,3.311000061E1,1.299999952E0,1.500000000E1
2.138348765E1,3.742437000E1,-1.221712333E2,3.003976622E1,4.014833272E-2,4.230000019E0,1.299999952E0,1.519999981E1
2.238348765E1,3.742437167E1,-1.221712350E2,3.013976513E1,4.117777944E-2,6.666000366E1,1.299999952E0,1.500000000E1
2.338348765E1,3.742437167E1,-1.221712350E2,3.023976513E1,3.654527664E-2,6.352000046E1,1.299999952E0,1.660000038E1
2.438348765E1,3.742437333E1,-1.221712367E2,3.033976403E1,3.242750093E-2,3.496499939E2,1.299999952E0,1.569999981E1
2.538348765E1,3.742437500E1,-1.221712400E2,3.043976634E1,3.191277757E-2,3.264700012E2,1.299999952E0,1.500000000E1
2.638348765E1,3.742437667E1,-1.221712433E2,3.053976864E1,3.500111029E-2,3.295100098E2,1.299999952E0,1.539999962E1
2.738348765E1,3.742437833E1,-1.221712450E2,3.053976755E1,3.706000000E-2,3.383399963E2,1.299999952E0,1.519999981E1
2.838348765E1,3.742438000E1,-1.221712467E2,3.053976645E1,3.860416636E-2,1.134800034E2,1.299999952E0,1.569999981E1
2.938348765E1,3.742438000E1,-1.221712483E2,3.053976985E1,3.808944300E-2,6.633000183E1,1.299999952E0,1.530000019E1
3.038348765E1,3.742438000E1,-1.221712483E2,3.053976985E1,5.507527664E-2,1.120400009E2,1.299999952E0,1.589999962E1
3.138348765E1,3.742438000E1,-1.221712450E2,3.043976305E1,1.111800000E-1,9.377999878E1,1.399999976E0,1.639999962E1
3.238348765E1,3.742438000E1,-1.221712467E2,3.033976645E1,1.472105533E-1,1.260500031E2,1.500000000E0,1.720000076E1
3.338348765E1,3.742437833E1,-1.221712467E2,3.023977095E1,0.000000000E0,1.252099991E2,1.700000048E0,1.389999962E1
3.438348765E1,3.742438000E1,-1.221712417E2,3.003975625E1,0.000000000E0,9.658999634E1,1.700000048E0,1.319999981E1
3.538348765E1,3.742437833E1,-1.221712367E2,2.993975054E1,2.717733383E-1,8.840000153E1,1.799999952E0,1.269999981E1
3.638348765E1,3.742438167E1,-1.221712267E2,2.993972113E1,3.283927739E-1,9.144999695E1,1.899999976E0,1.250000000E1
3.738348765E1,3.742438000E1,-1.221712283E2,3.003972903E1,0.000000000E0,1.488899994E2,1.799999952E0,1.150000000E1
3.838348765E1,3.742437333E1,-1.221712217E2,2.993973341E1,0.000000000E0,1.541399994E2,1.700000048E0,1.060000038E1
3.938348765E1,3.742437167E1,-1.221712167E2,2.993972771E1,4.447200000E-1,1.255500031E2,1.700000048E0,1.039999962E1
4.038348765E1,3.742436500E1,-1.221712133E2,3.013973889E1,4.601616561E-1,1.115299988E2,1.600000024E0,9.800000191E0
4.138348765E1,3.742436167E1,-1.221712117E2,3.023974449E1,4.133219421E-1,7.356999969E1,1.600000024E0,9.800000191E0
4.238348765E1,3.742435667E1,-1.221712067E2,3.023974777E1,0.000000000E0,1.275199966E2,1.500000000E0,9.500000000E0
4.338348765E1,3.742435167E1,-1.221712000E2,3.013974766E1,0.000000000E0,1.350899963E2,1.500000000E0,9.600000381E0
4.438348765E1,3.742435167E1,-1.221711950E2,3.003973745E1,4.133219421E-1,1.149599991E2,1.500000000E0,9.399999619E0
4.538348765E1,3.742435333E1,-1.221711917E2,2.983972615E1,3.875858188E-1,1.005699997E2,1.500000000E0,9.199999809E0
4.638348765E1,3.742435500E1,-1.221711883E2,2.983971485E1,0.000000000E0,1.049400024E2,1.500000000E0,9.500000000E0
4.738348765E1,3.742435833E1,-1.221711833E2,2.973969565E1,0.000000000E0,9.737000275E1,1.500000000E0,9.300000191E0
4.838348765E1,3.742435833E1,-1.221711800E2,2.973968884E1,0.000000000E0,1.987799988E2,1.500000000E0,9.100000381E0
