"Time (s)","Pressure (hPa)"
1.046381282E0,1.016190002E3
1.982185746E0,1.016159973E3
2.917990210E0,1.016209961E3
3.853794674E0,1.016219971E3
4.789599138E0,1.016169983E3
5.725403602E0,1.016190002E3
6.661208066E0,1.016169983E3
7.597012530E0,1.016179993E3
8.532816994E0,1.016169983E3
9.468621458E0,1.016179993E3
1.040442592E1,1.016159973E3
1.134023039E1,1.016250000E3
1.227603485E1,1.016159973E3
1.321183931E1,1.016149963E3
1.414764378E1,1.016199951E3
1.508344824E1,1.016159973E3
1.601925271E1,1.016219971E3
1.695505717E1,1.016169983E3
1.789086163E1,1.016190002E3
1.882666610E1,1.016179993E3
1.976247056E1,1.016159973E3
2.069827503E1,1.016179993E3
2.163407949E1,1.016149963E3
2.256988395E1,1.016139954E3
2.350568842E1,1.016199951E3
2.444149288E1,1.016169983E3
2.537729735E1,1.016129944E3
2.631310181E1,1.016190002E3
2.724890627E1,1.016229980E3
2.818471074E1,1.016149963E3
2.912051520E1,1.016169983E3
3.005631967E1,1.016179993E3
3.099212413E1,1.016159973E3
3.192792859E1,1.016179993E3
3.286373306E1,1.016159973E3
3.379953752E1,1.016139954E3
3.473534199E1,1.016069946E3
3.567114645E1,1.016069946E3
3.660695091E1,1.016079956E3
3.754275538E1,1.016039978E3
3.847855984E1,1.015989990E3
3.941436431E1,1.015949951E3
4.035016877E1,1.015909973E3
4.128597323E1,1.015899963E3
4.222177770E1,1.015959961E3
4.315758216E1,1.015839966E3
4.409338663E1,1.015829956E3
4.502919109E1,1.015809998E3
4.596499555E1,1.015829956E3
4.690080002E1,1.015809998E3
4.783660448E1,1.015779968E3
4.877240895E1,1.015750000E3
4.970821341E1,1.015719971E3
5.064401787E1,1.015729980E3
5.157982234E1,1.015729980E3
5.251562680E1,1.015719971E3
5.345143127E1,1.015729980E3
5.438723573E1,1.015750000E3
5.532304019E1,1.015729980E3
5.625884466E1,1.015719971E3
5.719464912E1,1.015709961E3
5.813045359E1,1.015759949E3
5.906625805E1,1.015750000E3
6.000206251E1,1.015779968E3
6.093786698E1,1.015719971E3
6.187367144E1,1.015729980E3
6.280947591E1,1.015759949E3
