"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109381.562,"2024-12-01 19:16:21.562 UTC-08:00"
"PAUSE",5.767842308E1,1733109439.241,"2024-12-01 19:17:19.241 UTC-08:00"
