"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109307.714,"2024-12-01 19:15:07.714 UTC-08:00"
"PAUSE",5.391292723E1,1733109361.627,"2024-12-01 19:16:01.627 UTC-08:00"
