"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.338077531E0,3.742434667E1,-1.221711833E2,3.163972713E1,5.250166729E-2,9.605000305E1,2.000000000E0,2.810000038E1
1.838077531E0,3.742434667E1,-1.221711817E2,3.163972373E1,5.656797290E-1,8.291999817E1,2.000000000E0,1.500000000E1
2.388077531E0,3.742434833E1,-1.221711750E2,3.153970562E1,1.179743290E0,7.681999969E1,2.000000000E0,1.260000038E1
2.888077531E0,3.742435167E1,-1.221711667E2,3.153967962E1,1.707333565E0,7.281999969E1,2.000000000E0,1.260000038E1
3.388077531E0,3.742435500E1,-1.221711600E2,3.153965701E1,1.856088281E0,7.343000031E1,2.099999905E0,1.269999981E1
3.888077531E0,3.742435500E1,-1.221711667E2,3.143967062E1,9.249558449E-1,6.725000000E1,2.099999905E0,1.280000019E1
5.388077531E0,3.742435667E1,-1.221711650E2,3.123966272E1,2.197863907E-1,7.991000366E1,2.099999905E0,1.339999962E1
6.388077531E0,3.742435500E1,-1.221711733E2,3.103968423E1,5.919305608E-2,1.624499969E2,1.899999976E0,1.169999981E1
7.388077531E0,3.742435500E1,-1.221711833E2,3.093970464E1,2.264777757E-2,4.350999832E1,1.700000048E0,1.169999981E1
8.388077531E0,3.742435667E1,-1.221711883E2,3.083971035E1,6.691388786E-2,3.527099915E2,1.600000024E0,1.110000038E1
9.388077531E0,3.742435833E1,-1.221711867E2,3.073970245E1,4.735444486E-2,2.070899963E2,1.600000024E0,1.130000019E1
1.038807753E1,3.742435667E1,-1.221711933E2,3.073972056E1,4.426611215E-2,2.251699982E2,1.500000000E0,1.160000038E1
1.138807753E1,3.742435667E1,-1.221711983E2,3.063973076E1,3.958213925E-1,4.308000183E1,1.500000000E0,1.160000038E1
1.238807753E1,3.742436000E1,-1.221712000E2,3.063972517E1,4.061158299E-1,5.552000046E1,1.500000000E0,1.169999981E1
1.338807753E1,3.742436167E1,-1.221711983E2,3.053971727E1,1.714024991E-1,4.477999878E1,1.399999976E0,1.130000019E1
1.438807753E1,3.742436333E1,-1.221712017E2,3.053971958E1,1.286805570E-1,2.295800018E2,1.399999976E0,1.139999962E1
1.538807753E1,3.742436333E1,-1.221712033E2,3.043972298E1,1.626522243E-1,2.289299927E2,1.399999976E0,1.180000019E1
1.638807753E1,3.742436333E1,-1.221712083E2,3.043973319E1,1.024297252E-1,2.343399963E2,1.399999976E0,1.189999962E1
1.738807753E1,3.742436333E1,-1.221712117E2,3.043973999E1,2.676555514E-2,3.082300110E2,1.299999952E0,1.160000038E1
1.838807753E1,3.742436500E1,-1.221712150E2,3.043974230E1,2.058888972E-2,1.329700012E2,1.299999952E0,1.160000038E1
1.938807753E1,3.742436500E1,-1.221712217E2,3.043975590E1,3.808944300E-2,2.134900055E2,1.299999952E0,1.110000038E1
2.038807753E1,3.742436667E1,-1.221712267E2,3.043976161E1,8.029666543E-2,2.175099945E2,1.299999952E0,1.080000019E1
2.138807753E1,3.742436833E1,-1.221712317E2,3.033976732E1,1.158125028E-1,2.198999939E2,1.299999952E0,1.069999981E1
2.238807753E1,3.742437167E1,-1.221712333E2,3.033976173E1,8.081138879E-2,3.493999863E1,1.299999952E0,1.080000019E1
2.338807753E1,3.742437333E1,-1.221712383E2,3.033976743E1,6.742861122E-2,2.046999931E1,1.299999952E0,1.039999962E1
2.438807753E1,3.742437500E1,-1.221712417E2,3.033976974E1,5.816360936E-2,3.043999939E2,1.299999952E0,1.050000000E1
2.538807753E1,3.742437667E1,-1.221712433E2,3.043976864E1,4.323666543E-2,2.687799988E2,1.299999952E0,1.030000019E1
2.638807753E1,3.742437833E1,-1.221712433E2,3.043976415E1,3.808944300E-2,2.370000076E1,1.299999952E0,1.010000038E1
2.738807753E1,3.742438167E1,-1.221712450E2,3.053975855E1,3.757472336E-2,2.109999895E0,1.299999952E0,1.069999981E1
2.838807753E1,3.742438333E1,-1.221712467E2,3.063975746E1,3.757472336E-2,2.362200012E2,1.299999952E0,1.119999981E1
2.938807753E1,3.742438667E1,-1.221712467E2,3.063974846E1,3.963360935E-2,1.796999931E1,1.299999952E0,1.089999962E1
3.038807753E1,3.742438667E1,-1.221712500E2,3.073975526E1,3.603055701E-2,2.634200134E2,1.299999952E0,1.080000019E1
3.138807753E1,3.742438667E1,-1.221712533E2,3.083976207E1,3.551583365E-2,3.263699951E2,1.299999952E0,1.119999981E1
3.238807753E1,3.742438833E1,-1.221712567E2,3.093976437E1,0.000000000E0,1.663300018E2,1.299999952E0,1.089999962E1
3.338807753E1,3.742438833E1,-1.221712600E2,3.093977118E1,0.000000000E0,7.655999756E1,1.299999952E0,1.089999962E1
3.438807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.299999952E0,1.069999981E1
3.538807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.299999952E0,1.100000000E1
3.638807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.399999976E0,1.150000000E1
3.738807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.399999976E0,1.139999962E1
3.838807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.500000000E0,1.150000000E1
3.938807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.500000000E0,1.180000019E1
4.038807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.180000019E1
4.138807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.160000038E1
4.238807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.700000048E0,1.150000000E1
4.338807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.119999981E1
4.438807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.130000019E1
4.538807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.139999962E1
4.638807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.130000019E1
4.738807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.130000019E1
4.838807753E1,3.742438833E1,-1.221712633E2,3.103977798E1,0.000000000E0,2.885899963E2,1.600000024E0,1.119999981E1
4.938807753E1,3.742436833E1,-1.221712450E2,3.133979454E1,2.640525103E-1,1.289600067E2,1.500000000E0,1.080000019E1
5.038807753E1,3.742436833E1,-1.221712367E2,3.153977753E1,2.882444561E-1,9.693000031E1,1.500000000E0,1.060000038E1
5.138807753E1,3.742436833E1,-1.221712283E2,3.163976052E1,3.253044486E-1,9.566999817E1,1.500000000E0,1.100000000E1
5.238807753E1,3.742436667E1,-1.221712200E2,3.153974800E1,3.690558374E-1,9.181999969E1,1.500000000E0,1.019999981E1
5.338807753E1,3.742436667E1,-1.221712167E2,3.153974120E1,4.035422206E-1,9.158999634E1,1.500000000E0,1.000000000E1
5.438807753E1,3.742436500E1,-1.221712117E2,3.163973549E1,4.472936094E-1,1.069300003E2,1.500000000E0,1.010000038E1
5.538807753E1,3.742436333E1,-1.221712050E2,3.163972638E1,4.333961010E-1,9.538999939E1,1.500000000E0,1.039999962E1
5.638807753E1,3.742436333E1,-1.221712050E2,3.183972638E1,4.395727813E-1,1.025000000E2,1.500000000E0,1.060000038E1
5.738807753E1,3.742436333E1,-1.221712017E2,3.193971958E1,4.611911178E-1,1.170000000E2,1.500000000E0,1.000000000E1
5.838807753E1,3.742436500E1,-1.221711967E2,3.183970487E1,4.601616561E-1,1.129199982E2,1.500000000E0,1.000000000E1
5.938807753E1,3.742436500E1,-1.221711983E2,3.193970828E1,4.364844561E-1,1.437400055E2,1.399999976E0,9.800000191E0
6.038807753E1,3.742436500E1,-1.221712017E2,3.213971508E1,4.138366580E-1,1.585200043E2,1.399999976E0,9.699999809E0
6.138807753E1,3.742436500E1,-1.221712050E2,3.243972188E1,0.000000000E0,1.807100067E2,1.399999976E0,9.800000191E0
6.238807753E1,3.742436500E1,-1.221712067E2,3.253972529E1,0.000000000E0,2.024700012E2,1.399999976E0,1.019999981E1
6.338807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.500000000E0,1.000000000E1
6.438807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.800000191E0
6.538807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.899999619E0
6.638807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.899999619E0
6.738807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.800000191E0
6.838807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.699999809E0
6.938807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.800000191E0
7.038807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.899999619E0
7.138807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.800000191E0
7.238807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.399999976E0,9.800000191E0
7.338807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.299999952E0,9.699999809E0
7.438807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.299999952E0,9.699999809E0
7.538807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.299999952E0,9.800000191E0
7.638807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.299999952E0,9.699999809E0
7.738807753E1,3.742436667E1,-1.221712067E2,3.253972079E1,0.000000000E0,3.345499878E2,1.299999952E0,9.699999809E0
