"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.330245325E0,3.742435833E1,-1.221711650E2,2.943965823E1,4.169249907E-2,2.533800049E2,1.899999976E0,3.459999847E1
1.830245325E0,3.742435833E1,-1.221711683E2,2.943966503E1,8.029666543E-2,2.428099976E2,2.000000000E0,1.810000038E1
2.330245325E0,3.742435500E1,-1.221711700E2,2.943967743E1,1.101505533E-1,2.630199890E2,2.299999952E0,1.820000076E1
2.830245325E0,3.742435500E1,-1.221711750E2,2.953968763E1,1.631669402E-1,2.751600037E2,2.500000000E0,1.269999981E1
3.330245325E0,3.742435333E1,-1.221711833E2,2.953970914E1,1.786086112E-1,2.565599976E2,2.599999905E0,1.269999981E1
3.830245325E0,3.742435500E1,-1.221711900E2,2.963971825E1,1.667699963E-1,2.577900085E2,2.700000048E0,1.280000019E1
4.830245325E0,3.742435833E1,-1.221712017E2,2.973973307E1,1.384602785E-1,2.566300049E2,2.900000095E0,1.350000000E1
5.830245325E0,3.742435500E1,-1.221712133E2,2.973976588E1,1.039738879E-1,2.603999939E2,2.900000095E0,1.460000038E1
6.830245325E0,3.742433667E1,-1.221712433E2,3.033987660E1,1.348572224E-1,2.775700073E2,2.500000000E0,1.480000019E1
7.830245325E0,3.742432667E1,-1.221712483E2,3.043991379E1,8.544389158E-2,2.014199982E2,2.200000048E0,1.580000019E1
8.830245325E0,3.742432833E1,-1.221712550E2,3.053992290E1,9.728249907E-2,2.222700043E2,2.000000000E0,1.550000000E1
1.056024532E1,3.742433500E1,-1.221712483E2,3.053989130E1,6.073722243E-2,9.958999634E1,1.899999976E0,1.469999981E1
1.156024532E1,3.742433500E1,-1.221712467E2,3.033988790E1,2.367722243E-2,1.121999969E2,1.799999952E0,1.510000038E1
1.256024532E1,3.742433833E1,-1.221712483E2,3.033988230E1,4.529555514E-2,1.649499969E2,1.700000048E0,1.489999962E1
1.356024532E1,3.742434000E1,-1.221712517E2,3.023988461E1,6.948749721E-2,1.423999939E2,1.700000048E0,1.480000019E1
1.456024532E1,3.742434167E1,-1.221712567E2,3.013989032E1,6.382555515E-2,2.637999878E2,1.600000024E0,1.460000038E1
1.556024532E1,3.742434000E1,-1.221712600E2,2.973990162E1,4.786916822E-2,2.416100006E2,1.600000024E0,1.600000000E1
1.656024532E1,3.742434000E1,-1.221712633E2,2.953990842E1,3.139805421E-2,2.685599976E2,1.600000024E0,1.480000019E1
1.756024532E1,3.742434000E1,-1.221712650E2,2.933991183E1,4.529555514E-2,3.467399902E2,1.500000000E0,1.380000019E1
1.856024532E1,3.742433833E1,-1.221712683E2,2.913992313E1,4.117777944E-2,2.454600067E2,1.500000000E0,1.419999981E1
1.956024532E1,3.742433667E1,-1.221712750E2,2.903994124E1,6.948749721E-2,2.423000031E2,1.500000000E0,1.410000038E1
2.056024532E1,3.742433333E1,-1.221712800E2,2.893996044E1,6.331083179E-2,2.467899933E2,1.500000000E0,1.419999981E1
2.156024532E1,3.742433333E1,-1.221712850E2,2.893997064E1,5.301639065E-2,2.569500122E2,1.500000000E0,1.400000000E1
2.256024532E1,3.742433167E1,-1.221712900E2,2.893998535E1,5.301639065E-2,2.805799866E2,1.500000000E0,1.410000038E1
2.356024532E1,3.742433000E1,-1.221712933E2,2.883999665E1,5.353111029E-2,1.692500000E2,1.399999976E0,1.480000019E1
2.456024532E1,3.742432667E1,-1.221712950E2,2.884000905E1,5.507527664E-2,1.864600067E2,1.399999976E0,1.439999962E1
2.556024532E1,3.742432667E1,-1.221712983E2,2.884001585E1,5.147222057E-2,2.985299988E2,1.399999976E0,1.430000019E1
2.656024532E1,3.742432667E1,-1.221712983E2,2.884001585E1,4.941333458E-2,1.850000024E0,1.399999976E0,1.500000000E1
2.756024532E1,3.742432667E1,-1.221712983E2,2.884001585E1,4.683972150E-2,3.533699951E2,1.399999976E0,1.620000076E1
2.856024532E1,3.742432833E1,-1.221712983E2,2.884001136E1,4.683972150E-2,2.449799957E2,1.399999976E0,1.580000019E1
2.956024532E1,3.742432833E1,-1.221712933E2,2.884000115E1,9.007638693E-2,9.955000305E1,1.399999976E0,1.589999962E1
3.056024532E1,3.742432667E1,-1.221712850E2,2.883998864E1,1.322836131E-1,1.076999969E2,1.399999976E0,1.600000000E1
3.156024532E1,3.742433000E1,-1.221712733E2,2.883995583E1,2.094919384E-1,9.480999756E1,1.399999976E0,1.660000038E1
3.256024533E1,3.742433000E1,-1.221712650E2,2.873993882E1,2.810383439E-1,1.130100021E2,1.500000000E0,2.060000038E1
3.356024533E1,3.742433333E1,-1.221712483E2,2.853989580E1,3.314810991E-1,8.251999664E1,1.600000024E0,1.739999962E1
