utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking
1732153407000,18479000000,,701202.1796759143,-1416188606521999872,0.0,173.08177525881504,1203.0098412090683,0.0,0,15,0.0,16431,351824924118032,396,22.391000747680664,688.541835581985,0.14999,16,0.0,0.0,1575420030,,,,0,4.617299791194779,1,6.0,22.391000747680664,0.0,0.0,0.0,66.7128,C,32291092000000,
1732153407000,18479000000,,701202.1796759143,-1416188606521999872,0.0,173.08177525881504,1203.0098412090683,0.0,0,30,0.0,16431,351824923685656,396,27.045000076293945,964.6517758430564,0.14999,16,0.0,0.0,1575420030,,,,0,12.807737415631834,1,6.0,27.045000076293945,0.0,0.0,0.0,66.7128,C,32291092000000,
1732153407000,18479000000,,701202.1796759143,-1416188606521999872,0.0,173.08177525881504,1203.0098412090683,0.0,0,13,0.0,16431,351824927170626,487,22.857999801635742,862.9070080904858,0.14999,16,0.0,0.0,1575420030,,,,0,6.878090057366624,1,6.0,22.857999801635742,0.0,0.0,0.0,66.7128,C,32291092000000,
1732153407000,18479000000,,701202.1796759143,-1416188606521999872,0.0,173.08177525881504,1203.0098412090683,0.0,0,6,0.0,16431,351824922375413,396,25.10300064086914,-283.29589578843644,0.14999,16,0.0,0.0,1575420030,,,,0,10.155226110140015,1,6.0,25.10300064086914,0.0,0.0,0.0,66.7128,C,32291092000000,
1732153408000,19479000000,,701163.0901335083,-1416188606521999872,0.0,159.45160047204666,1199.6995165378107,0.0,0,15,0.0,16431,351825924115734,487,22.33099937438965,687.4924793350375,0.14999,16,0.0,0.0,1575420030,,,,0,4.216957520757036,1,6.0,22.33099937438965,0.0,0.0,0.0,66.7128,C,32292092000000,
1732153408000,19479000000,,701163.0901335083,-1416188606521999872,0.0,159.45160047204666,1199.6995165378107,0.0,0,30,0.0,16431,351825923682435,487,22.482999801635742,963.6142664922427,0.14999,16,0.0,0.0,1575420030,,,,0,6.317515585361752,1,6.0,22.482999801635742,0.0,0.0,0.0,66.7128,C,32292092000000,
1732153408000,19479000000,,701163.0901335083,-1416188606521999872,0.0,159.45160047204666,1199.6995165378107,0.0,0,13,0.0,16431,351825927167751,487,19.933000564575195,862.0107323249521,0.14999,16,0.0,0.0,1575420030,,,,0,2.0924020629831093,1,6.0,19.933000564575195,0.0,0.0,0.0,66.7128,C,32292092000000,
1732153408000,19479000000,,701163.0901335083,-1416188606521999872,0.0,159.45160047204666,1199.6995165378107,0.0,0,12,0.0,17,532928,487,17.836000442504883,-185.24596587708987,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.836000442504883,0.0,0.0,0.0,66.7128,C,32292092000000,
1732153408000,19479000000,,701163.0901335083,-1416188606521999872,0.0,159.45160047204666,1199.6995165378107,0.0,0,4,0.0,16431,351825912998720,487,18.399999618530273,222.40229216028936,0.14999,16,0.0,0.0,1575420030,,,,0,1.5527322692712389,6,6.0,18.399999618530273,0.0,0.0,-49.6254841339032,66.7128,C,32292092000000,
1732153408000,19479000000,,701163.0901335083,-1416188606521999872,0.0,159.45160047204666,1199.6995165378107,0.0,0,6,0.0,16431,351825922376362,396,24.77199935913086,-284.64569861301743,0.14999,16,0.0,0.0,1575420030,,,,0,9.687901743655763,1,6.0,24.77199935913086,0.0,0.0,0.0,66.7128,C,32292092000000,
1732153409000,20479000000,,701086.9958242913,-1416188606521999872,0.0,154.68721893088002,1195.102453968399,0.0,0,15,0.0,16431,351826924113438,487,22.266000747680664,686.2640723520146,0.14999,16,0.0,0.0,1575420030,,,,0,3.9675847095650747,1,6.0,22.266000747680664,0.0,0.0,0.0,66.7128,C,32293092000000,
1732153409000,20479000000,,701086.9958242913,-1416188606521999872,0.0,154.68721893088002,1195.102453968399,0.0,0,30,0.0,16431,351826923679222,235,27.066999435424805,961.703153083006,0.14999,16,0.0,0.0,1575420030,,,,0,12.83816087804249,1,6.0,27.066999435424805,0.0,0.0,0.0,66.7128,C,32293092000000,
1732153409000,20479000000,,701086.9958242913,-1416188606521999872,0.0,154.68721893088002,1195.102453968399,0.0,0,13,0.0,16431,351826927164846,316,24.882999420166016,860.8940578329156,0.14999,16,0.0,0.0,1575420030,,,,0,9.860760973725888,1,6.0,24.882999420166016,0.0,0.0,0.0,66.7128,C,32293092000000,
1732153409000,20479000000,,701086.9958242913,-1416188606521999872,0.0,154.68721893088002,1195.102453968399,0.0,0,12,0.0,17,533600,396,22.173999786376953,-186.74963897616016,0.14999,16,0.0,0.0,1575420030,,,,0,5.786914634580768,1,6.0,22.173999786376953,0.0,0.0,0.0,66.7128,C,32293092000000,
