# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Raw,1732151037369,16514000000,,33353073.878863223,-1416186238855000064,0.0,233.2937692662504,1423.566857162648,0.0,0,30,0.0,16431,349455296674998,396,17.520000457763672,875.3548902962725,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,17.520000457763672,0.0,0.0,0.0,66.7128,C,29921471000000,
Raw,1732151037369,16514000000,,33353073.878863223,-1416186238855000064,0.0,233.2937692662504,1423.566857162648,0.0,0,22,0.0,16431,349455300083414,797,13.199999809265137,491.54425978285565,0.14999,16,0.0,0.0,1575420030,,,,0,0.0,1,6.0,13.199999809265137,0.0,0.0,0.0,66.7128,C,29921471000000,
Raw,1732151037369,16514000000,,33353073.878863223,-1416186238855000064,0.0,233.2937692662504,1423.566857162648,0.0,0,8,0.0,17,419795,487,5.0,926.8674311513774,0.14999,16,0.0,0.0,1605374980,,,,0,0.0,3,6.0,20.0,0.0,0.0,-9.278575228483438,66.7128,C,29921471000000,
Raw,1732151037369,16514000000,,33353073.878863223,-1416186238855000064,0.0,233.2937692662504,1423.566857162648,0.0,0,11,0.0,17,964236,316,15.5,-49.66802914788125,0.14999,16,0.0,0.0,1602000000,,,,0,10.264828695491628,3,6.0,15.5,0.0,0.0,-9.278575228483438,66.7128,C,29921471000000,
Fix,FLP,37.4248240000,-122.1585564000,2.9793834492030884,0.054229837,17.696,,1732151037623,2.1,,29921471000000,12.739981,0,,,
Status,1732151037366,27,0,1,17,1575420030,0.00,122.0,79.0,0,0,0,0.0
Status,1732151037366,27,1,1,22,1575420030,0.00,357.0,68.0,0,0,0,0.0
Status,1732151037366,27,2,1,14,1575420030,0.00,44.0,57.0,0,0,0,0.0
Status,1732151037366,27,3,1,19,1575420030,0.00,198.0,54.0,0,0,0,0.0
Status,1732151037366,27,4,1,13,1575420030,26.40,244.0,52.0,0,0,0,21.4
Status,1732151037366,27,5,1,30,1575420030,0.00,126.0,42.0,0,0,0,0.0
Status,1732151037366,27,6,1,15,1575420030,0.00,282.0,31.0,0,0,0,0.0
Status,1732151037366,27,7,1,2,1575420030,0.00,53.0,19.0,0,0,0,0.0
Status,1732151037366,27,8,1,24,1575420030,0.00,312.0,11.0,0,0,0,0.0
Status,1732151037366,27,9,1,7,1575420030,0.00,128.0,10.0,0,0,0,0.0
Status,1732151037366,27,10,1,21,1575420030,0.00,38.0,8.0,0,0,0,0.0
Status,1732151037366,27,11,1,6,1575420030,0.00,165.0,6.0,0,0,0,0.0
Status,1732151037366,27,12,3,20,1602000000,0.00,124.0,47.0,0,0,0,0.0
Status,1732151037366,27,13,3,9,1602000000,0.00,72.0,37.0,0,0,0,0.0
Status,1732151037366,27,14,3,8,1602000000,20.60,253.0,28.0,0,0,0,15.6
Status,1732151037366,27,15,3,19,1602000000,0.00,39.0,28.0,0,0,0,0.0
Status,1732151037366,27,16,3,11,1602000000,26.10,304.0,23.0,0,0,0,21.1
Status,1732151037366,27,17,6,21,1575420030,0.00,330.0,67.0,0,0,0,0.0
Status,1732151037366,27,18,6,19,1575420030,0.00,250.0,50.0,0,0,0,0.0
Status,1732151037366,27,19,6,27,1575420030,0.00,60.0,37.0,0,0,0,0.0
Status,1732151037366,27,20,6,29,1575420030,0.00,192.0,30.0,0,0,0,0.0
Status,1732151037366,27,21,6,13,1575420030,0.00,124.0,24.0,0,0,0,0.0
Status,1732151037366,27,22,6,15,1575420030,0.00,68.0,23.0,0,0,0,0.0
Status,1732151037366,27,23,6,4,1575420030,0.00,315.0,20.0,0,0,0,0.0
Status,1732151037366,27,24,6,26,1575420030,0.00,169.0,2.0,0,0,0,0.0
Status,1732151037366,27,25,6,6,1575420030,0.00,329.0,1.0,0,0,0,0.0
Status,1732151037366,27,26,6,34,1575420030,0.00,24.0,1.0,0,0,0,0.0
Status,,27,0,1,17,1575420030,0.00,122.0,79.0,0,0,0,0.0
Status,,27,1,1,22,1575420030,0.00,358.0,68.0,0,0,0,0.0
Status,,27,2,1,14,1575420030,0.00,44.0,57.0,0,0,0,0.0
Status,,27,3,1,19,1575420030,0.00,198.0,54.0,0,0,0,0.0
Status,,27,4,1,13,1575420030,26.40,244.0,52.0,0,0,0,21.4
Status,,27,5,1,30,1575420030,0.00,126.0,42.0,0,0,0,0.0
Status,,27,6,1,15,1575420030,0.00,282.0,31.0,0,0,0,0.0
Status,,27,7,1,2,1575420030,0.00,53.0,19.0,0,0,0,0.0
Status,,27,8,1,24,1575420030,0.00,312.0,11.0,0,0,0,0.0
Status,,27,9,1,7,1575420030,0.00,128.0,10.0,0,0,0,0.0
Status,,27,10,1,21,1575420030,0.00,38.0,8.0,0,0,0,0.0
Status,,27,11,1,6,1575420030,0.00,165.0,6.0,0,0,0,0.0
Status,,27,12,3,20,1602000000,0.00,124.0,47.0,0,0,0,0.0
Status,,27,13,3,9,1602000000,0.00,72.0,37.0,0,0,0,0.0
Status,,27,14,3,8,1602000000,20.70,253.0,28.0,0,0,0,15.700001
Status,,27,15,3,19,1602000000,0.00,39.0,28.0,0,0,0,0.0
Status,,27,16,3,11,1602000000,22.30,304.0,23.0,0,0,0,17.3
Status,,27,17,6,21,1575420030,0.00,330.0,67.0,0,0,0,0.0
Status,,27,18,6,19,1575420030,0.00,250.0,50.0,0,0,0,0.0
Status,,27,19,6,27,1575420030,0.00,60.0,37.0,0,0,0,0.0
Status,,27,20,6,29,1575420030,0.00,192.0,30.0,0,0,0,0.0
Status,,27,21,6,13,1575420030,0.00,124.0,24.0,0,0,0,0.0
Status,,27,22,6,15,1575420030,0.00,68.0,23.0,0,0,0,0.0
Status,,27,23,6,4,1575420030,0.00,315.0,20.0,0,0,0,0.0
Status,,27,24,6,26,1575420030,0.00,169.0,2.0,0,0,0,0.0
Status,,27,25,6,6,1575420030,0.00,329.0,1.0,0,0,0,0.0
Status,,27,26,6,34,1575420030,0.00,24.0,1.0,0,0,0,0.0
Status,,27,0,1,17,1575420030,0.00,122.0,79.0,0,0,0,0.0
Status,,27,1,1,22,1575420030,0.00,358.0,68.0,0,0,0,0.0
Status,,27,2,1,14,1575420030,0.00,44.0,57.0,0,0,0,0.0
Status,,27,3,1,19,1575420030,0.00,198.0,54.0,0,0,0,0.0
Status,,27,4,1,13,1575420030,21.60,244.0,52.0,0,0,0,16.6
Status,,27,5,1,30,1575420030,0.00,126.0,42.0,0,0,0,0.0
Status,,27,6,1,15,1575420030,0.00,282.0,31.0,0,0,0,0.0
