"Time (s)","Pressure (hPa)"
1.045796335E0,1.016179993E3
1.981600799E0,1.016129944E3
2.917405263E0,1.016139954E3
3.853209727E0,1.016149963E3
4.789014191E0,1.016139954E3
5.724818655E0,1.016119995E3
6.660623119E0,1.016190002E3
7.596427583E0,1.016149963E3
8.532232047E0,1.016139954E3
9.468036511E0,1.016129944E3
1.040384098E1,1.016159973E3
1.133964544E1,1.016119995E3
1.227544990E1,1.016190002E3
1.321125437E1,1.016179993E3
1.414705883E1,1.016149963E3
1.508286330E1,1.016149963E3
1.601866776E1,1.016149963E3
1.695447222E1,1.016139954E3
1.789027669E1,1.016139954E3
1.882608115E1,1.016179993E3
1.976188562E1,1.016179993E3
2.069769008E1,1.016169983E3
2.163349454E1,1.016169983E3
2.256929901E1,1.016109985E3
2.350510347E1,1.016169983E3
2.444090794E1,1.016190002E3
2.537671240E1,1.016119995E3
2.631251686E1,1.016129944E3
2.724832133E1,1.016190002E3
2.818412579E1,1.016190002E3
2.911993026E1,1.016169983E3
3.005573472E1,1.016139954E3
3.099153918E1,1.016169983E3
3.192734365E1,1.016149963E3
3.286314811E1,1.016139954E3
3.379895258E1,1.016169983E3
3.473475704E1,1.016179993E3
3.567056150E1,1.016199951E3
3.660636597E1,1.016099976E3
3.754217043E1,1.016119995E3
3.847797490E1,1.016109985E3
3.941377936E1,1.016089966E3
4.034958382E1,1.016029968E3
4.128538829E1,1.016009949E3
4.222119275E1,1.016039978E3
4.315699722E1,1.015969971E3
4.409280168E1,1.015940002E3
4.502860614E1,1.015919983E3
4.596441061E1,1.015929993E3
4.690021507E1,1.015869995E3
4.783601954E1,1.015869995E3
4.877182400E1,1.015819946E3
4.970762846E1,1.015829956E3
5.064343293E1,1.015809998E3
5.157923739E1,1.015779968E3
5.251504186E1,1.015729980E3
5.345084632E1,1.015750000E3
5.438665078E1,1.015699951E3
5.532245525E1,1.015739990E3
5.625825971E1,1.015709961E3
5.719406418E1,1.015729980E3
5.812986864E1,1.015729980E3
5.906567310E1,1.015699951E3
6.000147757E1,1.015729980E3
6.093728203E1,1.015739990E3
6.187308650E1,1.015719971E3
6.280889096E1,1.015729980E3
6.374469542E1,1.015729980E3
6.468049989E1,1.015729980E3
