"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109458.634,"2024-12-01 19:17:38.634 UTC-08:00"
"PAUSE",5.557575516E1,1733109514.209,"2024-12-01 19:18:34.209 UTC-08:00"
