"Time (s)","Pressure (hPa)"
1.046598734E0,1.016329956E3
1.982403198E0,1.016379944E3
2.918207662E0,1.016329956E3
3.854012126E0,1.016329956E3
4.789816590E0,1.016309998E3
5.725621054E0,1.016309998E3
6.661425518E0,1.016299988E3
7.597229982E0,1.016329956E3
8.533034446E0,1.016349976E3
9.468838910E0,1.016309998E3
1.040464337E1,1.016339966E3
1.134044784E1,1.016329956E3
1.227625230E1,1.016299988E3
1.321205677E1,1.016319946E3
1.414786123E1,1.016319946E3
1.508366569E1,1.016349976E3
1.601947016E1,1.016339966E3
1.695527462E1,1.016309998E3
1.789107909E1,1.016329956E3
1.882688355E1,1.016289978E3
1.976268801E1,1.016349976E3
2.069849248E1,1.016259949E3
2.163429694E1,1.016299988E3
2.257010141E1,1.016319946E3
2.350590587E1,1.016309998E3
2.444171033E1,1.016309998E3
2.537751480E1,1.016369995E3
2.631331926E1,1.016329956E3
2.724912373E1,1.016319946E3
2.818492819E1,1.016329956E3
2.912073265E1,1.016309998E3
3.005653712E1,1.016339966E3
3.099234158E1,1.016329956E3
3.192814605E1,1.016309998E3
3.286395051E1,1.016369995E3
3.379975497E1,1.016359985E3
3.473555944E1,1.016299988E3
3.567136390E1,1.016369995E3
3.660716837E1,1.016349976E3
3.754297283E1,1.016349976E3
3.847877729E1,1.016349976E3
3.941458176E1,1.016379944E3
4.035038622E1,1.016349976E3
4.128619069E1,1.016319946E3
4.222199515E1,1.016319946E3
4.315779961E1,1.016339966E3
4.409360408E1,1.016319946E3
4.502940854E1,1.016339966E3
4.596521301E1,1.016279968E3
4.690101747E1,1.016250000E3
4.783682193E1,1.016219971E3
4.877262640E1,1.016209961E3
4.970843086E1,1.016179993E3
5.064423533E1,1.016139954E3
5.158003979E1,1.016049988E3
5.251584425E1,1.016089966E3
5.345164872E1,1.016000000E3
5.438745318E1,1.016029968E3
5.532325765E1,1.015969971E3
5.625906211E1,1.015949951E3
5.719486657E1,1.015940002E3
5.813067104E1,1.015940002E3
5.906647550E1,1.015929993E3
6.000227997E1,1.015949951E3
6.093808443E1,1.015929993E3
6.187388889E1,1.015889954E3
6.280969336E1,1.015889954E3
6.374549782E1,1.015899963E3
6.468130229E1,1.015889954E3
6.561710675E1,1.015889954E3
6.655291121E1,1.015899963E3
6.748871568E1,1.015889954E3
