"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.324612464E0,3.742435000E1,-1.221712017E2,3.143975556E1,0.000000000E0,0.000000000E0,3.599999905E0,2.429999924E1
1.824612464E0,3.742435167E1,-1.221712050E2,3.143975787E1,0.000000000E0,0.000000000E0,3.599999905E0,2.079999924E1
2.567612464E0,3.742435500E1,-1.221712100E2,3.143975908E1,0.000000000E0,0.000000000E0,3.500000000E0,1.169999981E1
3.067612464E0,3.742435667E1,-1.221712100E2,3.143975458E1,1.647111028E-2,2.560700073E2,3.400000095E0,1.169999981E1
3.567612464E0,3.742436000E1,-1.221712150E2,3.143975579E1,3.706000000E-2,2.556499939E2,3.299999952E0,1.450000000E1
4.067612464E0,3.742436000E1,-1.221712233E2,3.143977280E1,3.706000000E-2,2.716499939E2,3.200000048E0,1.510000038E1
5.567612464E0,3.742435833E1,-1.221712517E2,3.153983513E1,1.127241701E-1,3.349500122E2,3.000000000E0,1.580000019E1
6.567612464E0,3.742436667E1,-1.221712783E2,3.143986707E1,3.078038990E-1,3.435499878E2,2.900000095E0,1.729999924E1
7.567612464E0,3.742435667E1,-1.221712850E2,3.123990767E1,3.582466543E-1,3.475499878E2,2.799999952E0,1.889999962E1
8.567612464E0,3.742437333E1,-1.221712800E2,3.113985248E1,4.169249907E-2,3.112099915E2,2.700000048E0,2.010000038E1
9.567612464E0,3.742437500E1,-1.221712800E2,3.093984799E1,6.845805794E-2,2.709800110E2,2.599999905E0,2.079999924E1
1.056761246E1,3.742437667E1,-1.221712750E2,3.103983328E1,3.808944300E-2,2.419100037E2,2.500000000E0,2.160000038E1
1.156761246E1,3.742438000E1,-1.221712633E2,3.083980047E1,1.338277757E-2,1.654600067E2,2.000000000E0,1.519999981E1
1.256761246E1,3.742437667E1,-1.221712567E2,3.073979586E1,1.302247196E-1,1.024800034E2,1.799999952E0,1.539999962E1
