"Time (s)","Pressure (hPa)"
1.043119701E0,1.016269958E3
1.978924165E0,1.016269958E3
2.914728629E0,1.016309998E3
3.850533093E0,1.016239990E3
4.786337557E0,1.016239990E3
5.722142021E0,1.016269958E3
6.657946485E0,1.016269958E3
7.593750949E0,1.016269958E3
8.529555413E0,1.016269958E3
9.465359877E0,1.016299988E3
1.040116434E1,1.016259949E3
1.133696881E1,1.016239990E3
1.227277327E1,1.016279968E3
1.320857773E1,1.016269958E3
1.414438220E1,1.016259949E3
1.508018666E1,1.016319946E3
1.601599112E1,1.016279968E3
1.695179559E1,1.016289978E3
1.788760005E1,1.016259949E3
1.882340452E1,1.016309998E3
1.975920898E1,1.016259949E3
2.069501344E1,1.016269958E3
2.163081791E1,1.016259949E3
2.256662237E1,1.016289978E3
2.350242684E1,1.016279968E3
2.443823130E1,1.016289978E3
2.537403577E1,1.016269958E3
2.630984023E1,1.016269958E3
2.724564469E1,1.016250000E3
2.818144916E1,1.016279968E3
2.911725362E1,1.016259949E3
3.005305809E1,1.016279968E3
3.098886255E1,1.016259949E3
3.192466701E1,1.016289978E3
3.286047148E1,1.016279968E3
3.379627594E1,1.016279968E3
3.473208041E1,1.016279968E3
3.566788487E1,1.016269958E3
3.660368933E1,1.016219971E3
3.753949380E1,1.016259949E3
3.847529826E1,1.016289978E3
3.941110272E1,1.016299988E3
4.034690719E1,1.016219971E3
4.128271165E1,1.016309998E3
4.221851612E1,1.016299988E3
4.315432058E1,1.016269958E3
4.409012504E1,1.016279968E3
4.502592951E1,1.016269958E3
4.596173397E1,1.016250000E3
4.689753844E1,1.016239990E3
4.783334290E1,1.016250000E3
4.876914736E1,1.016219971E3
4.970495183E1,1.016149963E3
5.064075629E1,1.016190002E3
5.157656076E1,1.016089966E3
5.251236522E1,1.016129944E3
5.344816968E1,1.016069946E3
5.438397415E1,1.016089966E3
5.531977861E1,1.016009949E3
5.625558308E1,1.016009949E3
5.719138754E1,1.015969971E3
5.812719201E1,1.015959961E3
5.906299647E1,1.015949951E3
5.999880093E1,1.015919983E3
6.093460540E1,1.015909973E3
6.187040986E1,1.015839966E3
6.280621433E1,1.015849976E3
6.374201879E1,1.015879944E3
6.467782325E1,1.015809998E3
6.561362772E1,1.015889954E3
6.654943218E1,1.015839966E3
6.748523664E1,1.015849976E3
6.842104111E1,1.015819946E3
6.935684557E1,1.015819946E3
7.029265004E1,1.015859985E3
7.122845450E1,1.015859985E3
7.216425896E1,1.015849976E3
