"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110662.717,"2024-12-01 19:37:42.717 UTC-08:00"
"PAUSE",5.617319308E1,1733110718.890,"2024-12-01 19:38:38.890 UTC-08:00"
