"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108894.394,"2024-12-01 19:08:14.394 UTC-08:00"
"PAUSE",5.520840470E1,1733108949.602,"2024-12-01 19:09:09.602 UTC-08:00"
