"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108586.743,"2024-12-01 19:03:06.743 UTC-08:00"
"PAUSE",6.030835285E1,1733108647.051,"2024-12-01 19:04:07.051 UTC-08:00"
