"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108323.637,"2024-12-01 18:58:43.637 UTC-08:00"
"PAUSE",7.137029216E1,1733108395.008,"2024-12-01 18:59:55.008 UTC-08:00"
