"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109055.051,"2024-12-01 19:10:55.051 UTC-08:00"
"PAUSE",5.841683616E1,1733109113.468,"2024-12-01 19:11:53.468 UTC-08:00"
