"Time (s)","Pressure (hPa)"
1.045608008E0,1.016289978E3
1.981412472E0,1.016269958E3
2.917216936E0,1.016279968E3
3.853021400E0,1.016239990E3
4.788825864E0,1.016309998E3
5.724630328E0,1.016229980E3
6.660434792E0,1.016289978E3
7.596239256E0,1.016219971E3
8.532043720E0,1.016250000E3
9.467848184E0,1.016289978E3
1.040365265E1,1.016319946E3
1.133945711E1,1.016269958E3
1.227526158E1,1.016269958E3
1.321106604E1,1.016229980E3
1.414687050E1,1.016299988E3
1.508267497E1,1.016269958E3
1.601847943E1,1.016289978E3
1.695428390E1,1.016289978E3
1.789008836E1,1.016250000E3
1.882589282E1,1.016289978E3
1.976169729E1,1.016289978E3
2.069750175E1,1.016259949E3
2.163330622E1,1.016289978E3
2.256911068E1,1.016289978E3
2.350491514E1,1.016299988E3
2.444071961E1,1.016279968E3
2.537652407E1,1.016289978E3
2.631232854E1,1.016299988E3
2.724813300E1,1.016289978E3
2.818393746E1,1.016279968E3
2.911974193E1,1.016279968E3
3.005554639E1,1.016250000E3
3.099135086E1,1.016349976E3
3.192715532E1,1.016339966E3
3.286295978E1,1.016279968E3
3.379876425E1,1.016289978E3
3.473456871E1,1.016279968E3
3.567037318E1,1.016229980E3
3.660617764E1,1.016229980E3
3.754198210E1,1.016169983E3
3.847778657E1,1.016149963E3
3.941359103E1,1.016119995E3
4.034939550E1,1.016079956E3
4.128519996E1,1.016079956E3
4.222100442E1,1.016089966E3
4.315680889E1,1.016039978E3
4.409261335E1,1.016009949E3
4.502841782E1,1.015969971E3
4.596422228E1,1.015929993E3
4.690002674E1,1.015949951E3
4.783583121E1,1.015949951E3
4.877163567E1,1.015869995E3
4.970744014E1,1.015839966E3
5.064324460E1,1.015819946E3
5.157904906E1,1.015819946E3
5.251485353E1,1.015849976E3
5.345065799E1,1.015849976E3
5.438646246E1,1.015839966E3
5.532226692E1,1.015849976E3
5.625807138E1,1.015869995E3
5.719387585E1,1.015819946E3
5.812968031E1,1.015829956E3
5.906548478E1,1.015779968E3
6.000128924E1,1.015829956E3
6.093709370E1,1.015869995E3
6.187289817E1,1.015839966E3
6.280870263E1,1.015839966E3
6.374450710E1,1.015809998E3
6.468031156E1,1.015839966E3
6.561611602E1,1.015839966E3
