"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109807.255,"2024-12-01 19:23:27.255 UTC-08:00"
"PAUSE",5.130495062E1,1733109858.560,"2024-12-01 19:24:18.560 UTC-08:00"
