"Time (s)","Pressure (hPa)"
1.047253445E0,1.016319946E3
1.983057909E0,1.016279968E3
2.918862373E0,1.016349976E3
3.854666837E0,1.016299988E3
4.790471301E0,1.016289978E3
5.726275765E0,1.016259949E3
6.662080229E0,1.016299988E3
7.597884693E0,1.016289978E3
8.533689157E0,1.016289978E3
9.469493621E0,1.016319946E3
1.040529808E1,1.016309998E3
1.134110255E1,1.016279968E3
1.227690701E1,1.016279968E3
1.321271148E1,1.016339966E3
1.414851594E1,1.016359985E3
1.508432041E1,1.016299988E3
1.602012487E1,1.016299988E3
1.695592933E1,1.016319946E3
1.789173380E1,1.016269958E3
1.882753826E1,1.016299988E3
1.976334272E1,1.016289978E3
2.069914719E1,1.016269958E3
2.163495165E1,1.016339966E3
2.257075612E1,1.016369995E3
2.350656058E1,1.016289978E3
2.444236505E1,1.016359985E3
2.537816951E1,1.016289978E3
2.631397397E1,1.016309998E3
2.724977844E1,1.016349976E3
2.818558290E1,1.016299988E3
2.912138736E1,1.016299988E3
3.005719183E1,1.016289978E3
3.099299629E1,1.016339966E3
3.192880076E1,1.016279968E3
3.286460522E1,1.016319946E3
3.380040969E1,1.016299988E3
3.473621415E1,1.016279968E3
3.567201861E1,1.016319946E3
3.660782308E1,1.016289978E3
3.754362754E1,1.016229980E3
3.847943200E1,1.016239990E3
3.941523647E1,1.016139954E3
4.035104093E1,1.016139954E3
4.128684540E1,1.016129944E3
4.222264986E1,1.016099976E3
4.315845432E1,1.016129944E3
4.409425879E1,1.016049988E3
4.503006325E1,1.015989990E3
4.596586772E1,1.016000000E3
4.690167218E1,1.015959961E3
4.783747664E1,1.015929993E3
4.877328111E1,1.015940002E3
4.970908557E1,1.015859985E3
5.064489004E1,1.015869995E3
5.158069450E1,1.015879944E3
5.251649897E1,1.015849976E3
5.345230343E1,1.015879944E3
5.438810789E1,1.015829956E3
5.532391236E1,1.015899963E3
