"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.335879806E0,3.742438833E1,-1.221711950E2,3.163963850E1,1.281658262E-1,6.447000122E1,2.099999905E0,7.990000153E1
1.835879806E0,3.742438833E1,-1.221711933E2,3.163963510E1,5.193547010E-1,8.263999939E1,2.099999905E0,1.850000000E1
2.335879806E0,3.742439000E1,-1.221711900E2,3.153962380E1,6.125194430E-1,7.533999634E1,2.299999952E0,1.860000038E1
2.835879806E0,3.742438833E1,-1.221711883E2,3.163962489E1,7.242141962E-1,7.140000153E1,2.500000000E0,1.530000019E1
3.335879806E0,3.742438500E1,-1.221712017E2,3.163966110E1,6.511235833E-1,6.722000122E1,2.200000048E0,1.530000019E1
3.835879806E0,3.742438333E1,-1.221712050E2,3.163967241E1,3.371430635E-1,6.593000031E1,2.000000000E0,1.589999962E1
4.835879806E0,3.742438667E1,-1.221712050E2,3.163966341E1,1.858147234E-1,5.015000153E1,1.899999976E0,1.700000000E1
5.835879806E0,3.742439500E1,-1.221712117E2,3.163965453E1,1.327983290E-1,3.438999939E1,1.799999952E0,1.860000038E1
6.835879806E0,3.742440000E1,-1.221712067E2,3.133963083E1,4.941333458E-2,4.458000183E1,1.700000048E0,1.850000000E1
8.134879806E0,3.742440667E1,-1.221712050E2,3.153960944E1,6.948749721E-2,2.338300018E2,1.600000024E0,1.770000076E1
9.131879806E0,3.742440833E1,-1.221712083E2,3.153961174E1,6.176666543E-2,3.131199951E2,1.600000024E0,1.739999962E1
1.013187981E1,3.742441000E1,-1.221712150E2,3.153962085E1,1.116947234E-1,2.052700043E2,1.500000000E0,1.739999962E1
1.113187981E1,3.742441167E1,-1.221712183E2,3.133962316E1,1.106652766E-1,2.636400146E2,1.500000000E0,1.770000076E1
1.213187981E1,3.742441167E1,-1.221712183E2,3.143962316E1,2.367722243E-2,2.563999939E2,1.500000000E0,1.800000000E1
1.313187981E1,3.742441167E1,-1.221712200E2,3.143962656E1,1.389750000E-2,2.934599915E2,1.600000024E0,1.850000000E1
1.413187981E1,3.742441333E1,-1.221712233E2,3.143962887E1,4.992805421E-2,2.903500061E2,1.500000000E0,1.750000000E1
1.513187981E1,3.742441667E1,-1.221712267E2,3.143962667E1,2.830972150E-2,2.893800049E2,1.500000000E0,1.700000000E1
1.613187981E1,3.742442000E1,-1.221712283E2,3.143962108E1,2.625083365E-2,2.962500000E2,1.500000000E0,1.620000076E1
1.713187981E1,3.742442167E1,-1.221712283E2,3.153961658E1,3.911888972E-2,1.372400055E2,1.399999976E0,1.569999981E1
1.813187981E1,3.742442333E1,-1.221712267E2,3.143960868E1,7.772305608E-2,1.073600006E2,1.399999976E0,1.610000038E1
1.913187981E1,3.742442333E1,-1.221712283E2,3.153961208E1,1.647111028E-2,1.796900024E2,1.399999976E0,1.589999962E1
2.013187981E1,3.742442333E1,-1.221712300E2,3.153961549E1,1.389750000E-2,1.171200027E2,1.399999976E0,1.500000000E1
2.113187981E1,3.742442333E1,-1.221712300E2,3.153961549E1,3.911888972E-2,2.801000023E1,1.399999976E0,1.550000000E1
2.213187981E1,3.742442333E1,-1.221712300E2,3.153961549E1,4.581027851E-2,8.729999542E0,1.399999976E0,1.480000019E1
2.313187981E1,3.742442333E1,-1.221712317E2,3.153961889E1,4.838388786E-2,7.719999695E1,1.399999976E0,1.489999962E1
2.413187981E1,3.742442333E1,-1.221712317E2,3.153961889E1,4.426611215E-2,2.920000076E0,1.399999976E0,1.489999962E1
2.513187981E1,3.742442333E1,-1.221712317E2,3.153961889E1,4.683972150E-2,1.911000061E1,1.399999976E0,1.480000019E1
2.613187981E1,3.742442333E1,-1.221712333E2,3.153962229E1,4.838388786E-2,6.309999847E1,1.399999976E0,1.489999962E1
2.713187981E1,3.742442167E1,-1.221712350E2,3.153963019E1,4.992805421E-2,6.929000092E1,1.399999976E0,1.530000019E1
2.813187981E1,3.742442000E1,-1.221712350E2,3.153963469E1,6.485500187E-2,1.035599976E2,1.399999976E0,1.530000019E1
2.913187981E1,3.742441667E1,-1.221712300E2,3.133963348E1,1.127241701E-1,1.063300018E2,1.500000000E0,1.539999962E1
3.013187981E1,3.742441500E1,-1.221712250E2,3.093962777E1,1.631669402E-1,9.815000153E1,1.600000024E0,1.589999962E1
3.113187981E1,3.742441500E1,-1.221712250E2,3.063962777E1,2.012563944E-1,8.881999969E1,1.700000048E0,1.589999962E1
3.213187981E1,3.742441333E1,-1.221712217E2,3.053962546E1,2.408899963E-1,8.723999786E1,1.700000048E0,1.639999962E1
3.313187981E1,3.742440833E1,-1.221712150E2,3.053962535E1,2.923622131E-1,9.065000153E1,1.700000048E0,1.450000000E1
3.413187981E1,3.742440500E1,-1.221712117E2,3.033962754E1,3.443491757E-1,9.516000366E1,1.700000048E0,1.419999981E1
3.513187981E1,3.742440333E1,-1.221712100E2,3.033962864E1,3.865563869E-1,8.779000092E1,1.700000048E0,1.430000019E1
3.613187981E1,3.742440167E1,-1.221712050E2,3.023962293E1,4.303077757E-1,8.251999664E1,1.700000048E0,1.439999962E1
3.713187981E1,3.742440167E1,-1.221712017E2,3.023961613E1,4.797210991E-1,8.673000336E1,1.700000048E0,1.280000019E1
3.813187981E1,3.742439667E1,-1.221711950E2,3.023961601E1,5.167810917E-1,9.461000061E1,1.700000048E0,1.260000038E1
3.913187981E1,3.742439333E1,-1.221711917E2,3.033961820E1,5.214136243E-1,9.918000031E1,1.700000048E0,1.230000019E1
4.013187981E1,3.742439000E1,-1.221711917E2,3.033962720E1,5.090602636E-1,1.013199997E2,1.700000048E0,1.210000038E1
4.113187981E1,3.742438833E1,-1.221711900E2,3.033962830E1,4.920744300E-1,1.093399963E2,1.600000024E0,1.150000000E1
4.213187981E1,3.742438833E1,-1.221711850E2,3.043961809E1,4.673677683E-1,1.043799973E2,1.600000024E0,1.160000038E1
4.313187981E1,3.742438500E1,-1.221711800E2,3.053961688E1,4.328813851E-1,1.051299973E2,1.500000000E0,1.169999981E1
4.413187981E1,3.742438333E1,-1.221711750E2,3.073961117E1,0.000000000E0,8.761000061E1,1.500000000E0,1.189999962E1
4.513187981E1,3.742438167E1,-1.221711717E2,3.093960887E1,0.000000000E0,1.242200012E2,1.500000000E0,1.200000000E1
4.613187981E1,3.742438167E1,-1.221711700E2,3.103960546E1,0.000000000E0,1.191800003E2,1.500000000E0,1.210000038E1
