"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108739.593,"2024-12-01 19:05:39.593 UTC-08:00"
"PAUSE",6.440795600E1,1733108804.001,"2024-12-01 19:06:44.001 UTC-08:00"
