"Time (s)","Pressure (hPa)"
9.427257820E-1,1.016069946E3
1.878530246E0,1.016089966E3
2.814334710E0,1.016039978E3
3.750139174E0,1.016069946E3
4.685943638E0,1.016069946E3
5.621748102E0,1.016099976E3
6.557552566E0,1.016079956E3
7.493357030E0,1.016039978E3
8.429161494E0,1.016059998E3
9.364965958E0,1.016069946E3
1.030077042E1,1.016039978E3
1.123657489E1,1.016079956E3
1.217237935E1,1.016089966E3
1.310818381E1,1.016099976E3
1.404398828E1,1.016049988E3
1.497979274E1,1.016069946E3
1.591559721E1,1.016000000E3
1.685140167E1,1.016079956E3
1.778720613E1,1.016069946E3
1.872301060E1,1.016049988E3
1.965881506E1,1.016069946E3
2.059461953E1,1.016079956E3
2.153042399E1,1.016089966E3
2.246622845E1,1.016109985E3
2.340203292E1,1.016039978E3
2.433783738E1,1.016099976E3
2.527364185E1,1.016059998E3
2.620944631E1,1.016029968E3
2.714525077E1,1.016049988E3
2.808105524E1,1.016049988E3
2.901685970E1,1.016049988E3
2.995266417E1,1.016049988E3
3.088846863E1,1.016059998E3
3.182427309E1,1.016009949E3
3.276007756E1,1.015979980E3
3.369588202E1,1.015899963E3
3.463168649E1,1.015919983E3
3.556749095E1,1.015889954E3
3.650329541E1,1.015869995E3
3.743909988E1,1.015809998E3
3.837490434E1,1.015789978E3
3.931070881E1,1.015759949E3
4.024651327E1,1.015729980E3
4.118231773E1,1.015690002E3
4.211812220E1,1.015669983E3
4.305392666E1,1.015659973E3
4.398973113E1,1.015669983E3
4.492553559E1,1.015649963E3
4.586134005E1,1.015629944E3
4.679714452E1,1.015589966E3
4.773294898E1,1.015609985E3
4.866875345E1,1.015649963E3
4.960455791E1,1.015619995E3
5.054036237E1,1.015629944E3
5.147616684E1,1.015609985E3
5.241197130E1,1.015619995E3
5.334777577E1,1.015649963E3
