"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.330348293E0,3.742438667E1,-1.221711900E2,3.023963279E1,1.348572224E-1,1.288099976E2,1.899999976E0,7.800000000E1
1.830348293E0,3.742438833E1,-1.221712033E2,3.023965551E1,1.912707806E0,2.892999878E2,2.000000000E0,1.600000000E1
2.330348293E0,3.742438500E1,-1.221712217E2,3.033970193E1,1.855573654E0,3.049100037E2,2.200000048E0,1.600000000E1
2.830348293E0,3.742437667E1,-1.221712400E2,3.073976184E1,1.023267746E0,2.824100037E2,2.299999952E0,1.639999962E1
3.330348293E0,3.742436833E1,-1.221712550E2,3.073981495E1,1.181287527E0,2.699299927E2,2.200000048E0,1.770000076E1
3.830348293E0,3.742436000E1,-1.221712600E2,3.063984764E1,1.151433587E0,2.616900024E2,2.099999905E0,1.889999962E1
4.830348293E0,3.742436000E1,-1.221712583E2,3.053984424E1,3.855269551E-1,2.559600067E2,2.099999905E0,1.989999962E1
5.830348293E0,3.742436000E1,-1.221712550E2,3.053983744E1,9.059111029E-2,2.341600037E2,2.000000000E0,1.970000076E1
6.830348293E0,3.742435833E1,-1.221712550E2,3.063984194E1,9.573833644E-2,3.015100098E2,1.899999976E0,1.879999924E1
8.250348293E0,3.742436000E1,-1.221712517E2,3.043983063E1,1.302247196E-1,2.969599915E2,1.899999976E0,1.689999962E1
9.250348293E0,3.742436000E1,-1.221712467E2,3.043982043E1,4.632499814E-2,2.867500000E2,1.899999976E0,1.660000038E1
1.025034829E1,3.742436000E1,-1.221712467E2,3.033982043E1,6.125194579E-2,2.549799957E2,1.799999952E0,1.639999962E1
1.125034829E1,3.742436167E1,-1.221712483E2,3.033981933E1,4.272194579E-2,2.852500000E2,1.700000048E0,1.580000019E1
1.225034829E1,3.742435833E1,-1.221712467E2,3.033982493E1,5.867833272E-2,2.349100037E2,1.700000048E0,1.589999962E1
1.325134829E1,3.742436333E1,-1.221712483E2,3.033981483E1,8.750277758E-2,1.330000043E0,1.600000024E0,1.539999962E1
1.425134829E1,3.742436333E1,-1.221712483E2,3.033981483E1,6.382555515E-2,3.518099976E2,1.600000024E0,1.600000000E1
1.525134829E1,3.742436500E1,-1.221712467E2,3.033980693E1,6.588444114E-2,6.637999725E1,1.600000024E0,1.610000038E1
