"Time (s)","Pressure (hPa)"
1.045795436E0,1.016049988E3
1.981599900E0,1.016059998E3
2.917404364E0,1.016059998E3
3.853208828E0,1.016039978E3
4.789013292E0,1.016059998E3
5.724817756E0,1.016049988E3
6.660622220E0,1.016029968E3
7.596426684E0,1.016059998E3
8.532231148E0,1.016029968E3
9.468035612E0,1.015989990E3
1.040384008E1,1.016059998E3
1.133964454E1,1.016039978E3
1.227544900E1,1.016049988E3
1.321125347E1,1.016079956E3
1.414705793E1,1.016049988E3
1.508286240E1,1.016039978E3
1.601866686E1,1.016039978E3
1.695447132E1,1.016039978E3
1.789027579E1,1.016019958E3
1.882608025E1,1.016009949E3
1.976188472E1,1.016029968E3
2.069768918E1,1.016029968E3
2.163349364E1,1.016029968E3
2.256929811E1,1.016019958E3
2.350510257E1,1.016029968E3
2.444090704E1,1.016059998E3
2.537671150E1,1.016059998E3
2.631251596E1,1.016019958E3
2.724832043E1,1.016049988E3
2.818412489E1,1.016039978E3
2.911992936E1,1.016059998E3
3.005573382E1,1.016009949E3
3.099153828E1,1.016079956E3
3.192734275E1,1.016019958E3
3.286314721E1,1.016009949E3
3.379895168E1,1.016029968E3
3.473475614E1,1.015909973E3
3.567056060E1,1.015909973E3
3.660636507E1,1.015879944E3
3.754216953E1,1.015819946E3
3.847797400E1,1.015799988E3
3.941377846E1,1.015789978E3
4.034958292E1,1.015750000E3
4.128538739E1,1.015750000E3
4.222119185E1,1.015709961E3
4.315699632E1,1.015619995E3
4.409280078E1,1.015599976E3
4.502860524E1,1.015629944E3
4.596440971E1,1.015649963E3
4.690021417E1,1.015619995E3
4.783601864E1,1.015579956E3
4.877182310E1,1.015589966E3
4.970762756E1,1.015619995E3
5.064343203E1,1.015639954E3
