"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.289533379E0,3.742439000E1,-1.221711950E2,2.923963400E1,1.595638879E-2,2.934299927E2,3.900000095E0,2.789999962E1
1.789533379E0,3.742438500E1,-1.221712117E2,2.943968152E1,1.348572224E-1,3.261400146E2,4.199999809E0,2.270000076E1
2.289533379E0,3.742436333E1,-1.221712117E2,2.943973999E1,1.343425065E-1,3.186400146E2,4.400000095E0,1.979999924E1
2.789533379E0,3.742434667E1,-1.221712167E2,2.953979517E1,8.956166357E-2,3.350199890E2,4.500000000E0,1.970000076E1
3.289533379E0,3.742433667E1,-1.221712200E2,2.963982897E1,1.050033346E-1,3.287999878E2,4.199999809E0,2.000000000E1
3.789533379E0,3.742433000E1,-1.221712150E2,2.953983675E1,8.698805422E-2,3.292799988E2,4.000000000E0,2.039999962E1
4.789533379E0,3.742433000E1,-1.221712217E2,2.973985036E1,9.573833644E-2,3.252799988E2,3.900000095E0,2.179999924E1
5.789533379E0,3.742433000E1,-1.221712233E2,2.983985376E1,3.757472336E-2,3.194899902E2,3.599999905E0,2.400000000E1
6.789533379E0,3.742432833E1,-1.221712367E2,3.003988548E1,8.235555142E-3,1.439700012E2,3.400000095E0,2.670000076E1
7.789533379E0,3.742433500E1,-1.221712283E2,3.053985047E1,1.127241701E-1,3.371499939E2,2.599999905E0,2.189999962E1
8.789533379E0,3.742434833E1,-1.221712183E2,3.073979408E1,1.178713888E-1,3.647999954E1,2.299999952E0,2.210000038E1
1.003853338E1,3.742434667E1,-1.221712233E2,3.053980878E1,4.375138879E-2,8.780000305E1,2.099999905E0,2.129999924E1
1.103853338E1,3.742434500E1,-1.221712283E2,3.033982349E1,1.801527739E-1,1.336199951E2,2.000000000E0,2.039999962E1
1.203853338E1,3.742434500E1,-1.221712333E2,3.023983369E1,1.750055552E-1,1.330200043E2,1.899999976E0,2.110000038E1
1.303853338E1,3.742434667E1,-1.221712400E2,3.013984280E1,1.564755589E-1,1.382100067E2,1.899999976E0,2.020000076E1
1.403853338E1,3.742435000E1,-1.221712567E2,3.013986783E1,1.235333309E-1,1.935299988E2,1.799999952E0,1.950000000E1
1.503853338E1,3.742435500E1,-1.221712617E2,3.003986454E1,3.397166729E-2,2.647900085E2,1.700000048E0,2.010000038E1
1.603853338E1,3.742435667E1,-1.221712650E2,3.003986685E1,2.161833271E-2,5.272000122E1,1.700000048E0,1.989999962E1
1.703853338E1,3.742435667E1,-1.221712683E2,3.003987365E1,2.007416636E-2,1.225800018E2,1.600000024E0,1.970000076E1
1.803853338E1,3.742435667E1,-1.221712717E2,2.993988045E1,3.757472336E-2,1.073899994E2,1.600000024E0,1.960000038E1
1.903853338E1,3.742435667E1,-1.221712750E2,2.983988726E1,3.654527664E-2,1.015299988E2,1.600000024E0,1.950000000E1
2.003853338E1,3.742435500E1,-1.221712750E2,2.973989176E1,4.941333458E-2,1.242799988E2,1.600000024E0,1.950000000E1
2.103853338E1,3.742435333E1,-1.221712767E2,2.963989966E1,6.691388786E-2,1.541000061E2,1.500000000E0,1.950000000E1
2.203853338E1,3.742435167E1,-1.221712783E2,2.953990756E1,5.353111029E-2,1.279400024E2,1.500000000E0,1.960000038E1
2.303853338E1,3.742435000E1,-1.221712783E2,2.943991206E1,4.323666543E-2,1.321000061E2,1.500000000E0,1.960000038E1
2.403853338E1,3.742434833E1,-1.221712800E2,2.933991996E1,3.500111029E-2,1.557500000E2,1.500000000E0,1.950000000E1
2.503853338E1,3.742434833E1,-1.221712800E2,2.923991996E1,3.242750093E-2,2.930199890E2,1.500000000E0,2.029999924E1
2.603853338E1,3.742434833E1,-1.221712817E2,2.913992336E1,3.139805421E-2,6.405000305E1,1.500000000E0,1.970000076E1
2.703853338E1,3.742434833E1,-1.221712817E2,2.903992336E1,3.191277757E-2,2.376100006E2,1.500000000E0,1.910000038E1
2.803853338E1,3.742435167E1,-1.221712817E2,2.893991436E1,3.139805421E-2,5.202999878E1,1.500000000E0,1.950000000E1
2.903853338E1,3.742435333E1,-1.221712833E2,2.883991327E1,3.139805421E-2,1.929000092E1,1.500000000E0,2.029999924E1
3.003853338E1,3.742435333E1,-1.221712783E2,2.883990306E1,5.198694393E-2,1.184800034E2,1.500000000E0,2.010000038E1
3.103853338E1,3.742435333E1,-1.221712700E2,2.873988605E1,1.091211140E-1,8.511000061E1,1.600000024E0,2.129999924E1
3.203853338E1,3.742435833E1,-1.221712550E2,2.873984194E1,2.285366654E-1,6.133000183E1,1.799999952E0,2.400000000E1
3.303853338E1,3.742436000E1,-1.221712433E2,2.873981362E1,2.867002785E-1,8.037000275E1,1.899999976E0,2.020000076E1
3.403853338E1,3.742437000E1,-1.221712400E2,2.853977983E1,3.489816785E-1,6.755999756E1,2.000000000E0,1.970000076E1
3.503853338E1,3.742437667E1,-1.221712350E2,2.853975163E1,0.000000000E0,6.136999893E1,2.000000000E0,1.530000019E1
3.603853338E1,3.742438000E1,-1.221712283E2,2.863972903E1,0.000000000E0,8.751000214E1,2.000000000E0,1.410000038E1
3.703853338E1,3.742438167E1,-1.221712167E2,2.883970072E1,4.884713888E-1,1.053499985E2,1.899999976E0,1.160000038E1
3.803853338E1,3.742438167E1,-1.221712083E2,2.883968371E1,5.528116822E-1,9.402999878E1,1.799999952E0,1.089999962E1
3.903853338E1,3.742438167E1,-1.221712050E2,2.893967690E1,5.903863907E-1,9.844999695E1,1.799999952E0,1.050000000E1
