"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108980.181,"2024-12-01 19:09:40.181 UTC-08:00"
"PAUSE",5.496270093E1,1733109035.144,"2024-12-01 19:10:35.144 UTC-08:00"
