"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.319991054E0,3.742436667E1,-1.221712017E2,3.263971058E1,6.382555515E-2,7.869999886E0,1.899999976E0,1.380000019E1
1.819991054E0,3.742436833E1,-1.221712033E2,3.263970949E1,2.867002785E-1,3.293200073E2,1.899999976E0,1.269999981E1
2.479991054E0,3.742437167E1,-1.221712167E2,3.253972771E1,4.025127888E-1,3.196700134E2,1.799999952E0,1.269999981E1
2.979991054E0,3.742437500E1,-1.221712283E2,3.243974252E1,5.440613627E-1,3.168299866E2,1.799999952E0,1.330000019E1
3.479991054E0,3.742437833E1,-1.221712400E2,3.233975734E1,7.092872262E-1,3.119299927E2,1.799999952E0,1.389999962E1
3.979991054E0,3.742438167E1,-1.221712500E2,3.233976876E1,7.669361234E-1,3.091300049E2,1.700000048E0,1.500000000E1
4.979991054E0,3.742438000E1,-1.221712550E2,3.233978346E1,4.617058337E-1,2.971799927E2,1.799999952E0,1.629999924E1
5.979991054E0,3.742437833E1,-1.221712567E2,3.233979136E1,2.861855626E-1,2.762000122E2,1.799999952E0,1.710000038E1
6.979991054E0,3.742437500E1,-1.221712583E2,3.233980376E1,1.405191720E-1,2.677999878E2,1.700000048E0,1.710000038E1
7.979991054E0,3.742437000E1,-1.221712600E2,3.233982066E1,8.544389158E-2,2.125899963E2,1.700000048E0,1.679999924E1
8.979991054E0,3.742436333E1,-1.221712650E2,3.233984885E1,1.729466617E-1,2.205899963E2,1.700000048E0,1.889999962E1
9.979991054E0,3.742435667E1,-1.221712700E2,3.233987705E1,1.688288897E-1,2.223300018E2,1.700000048E0,1.939999962E1
1.097999105E1,3.742435167E1,-1.221712733E2,3.233989735E1,8.801750094E-2,2.533699951E2,1.700000048E0,1.820000076E1
1.197999105E1,3.742434667E1,-1.221712817E2,3.223992786E1,1.374308318E-1,2.355800018E2,1.700000048E0,1.910000038E1
1.297999105E1,3.742434000E1,-1.221712900E2,3.223996286E1,1.842705607E-1,2.285000000E2,1.700000048E0,1.739999962E1
1.397999105E1,3.742433500E1,-1.221712967E2,3.223998996E1,9.934139252E-2,2.458300018E2,1.600000024E0,1.729999924E1
1.497999105E1,3.742433333E1,-1.221713050E2,3.234001147E1,1.616227776E-1,2.281100006E2,1.600000024E0,1.700000000E1
1.597999105E1,3.742433167E1,-1.221713117E2,3.244002958E1,8.750277758E-2,2.268800049E2,1.600000024E0,1.620000076E1
1.697999105E1,3.742433167E1,-1.221713200E2,3.244004659E1,1.014002785E-1,2.801499939E2,1.600000024E0,1.660000038E1
1.797999105E1,3.742433333E1,-1.221713267E2,3.254005570E1,1.008855551E-1,2.672600098E2,1.500000000E0,1.600000000E1
1.897999105E1,3.742433333E1,-1.221713333E2,3.254006931E1,6.434027851E-2,2.309400024E2,1.500000000E0,1.500000000E1
1.997999105E1,3.742433500E1,-1.221713383E2,3.264007501E1,5.044277757E-2,2.812399902E2,1.500000000E0,1.480000019E1
2.097999105E1,3.742433667E1,-1.221713450E2,3.274008412E1,1.008855551E-1,2.399900055E2,1.500000000E0,1.419999981E1
2.197999105E1,3.742433667E1,-1.221713500E2,3.284009433E1,9.110583365E-2,2.567000122E2,1.399999976E0,1.360000038E1
2.297999105E1,3.742433833E1,-1.221713533E2,3.294009664E1,7.875250280E-2,2.698999939E2,1.399999976E0,1.339999962E1
2.397999105E1,3.742433833E1,-1.221713567E2,3.314010344E1,7.566417009E-2,2.791000061E2,1.399999976E0,1.210000038E1
2.497999105E1,3.742434000E1,-1.221713567E2,3.314009894E1,6.485500187E-2,2.908500061E2,1.399999976E0,1.230000019E1
2.597999105E1,3.742434000E1,-1.221713567E2,3.324009894E1,5.713416636E-2,8.227999878E1,1.399999976E0,1.260000038E1
2.697999105E1,3.742434000E1,-1.221713550E2,3.334009554E1,4.941333458E-2,6.508000183E1,1.399999976E0,1.230000019E1
2.797999105E1,3.742433833E1,-1.221713550E2,3.334010004E1,4.117777944E-2,2.897900085E2,1.399999976E0,1.230000019E1
2.897999105E1,3.742433833E1,-1.221713550E2,3.334010004E1,3.654527664E-2,2.859599915E2,1.399999976E0,1.289999962E1
2.997999105E1,3.742433667E1,-1.221713550E2,3.334010454E1,3.294222057E-2,1.978300018E2,1.399999976E0,1.280000019E1
3.097999105E1,3.742433667E1,-1.221713533E2,3.344010114E1,3.242750093E-2,1.771699982E2,1.399999976E0,1.310000038E1
3.197999105E1,3.742433667E1,-1.221713533E2,3.354010114E1,0.000000000E0,9.740000153E1,1.399999976E0,1.319999981E1
3.297999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,1.030500031E2,1.399999976E0,1.200000000E1
3.397999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.200000000E1
3.497999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.180000019E1
3.597999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.230000019E1
3.697999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.189999962E1
3.797999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.239999962E1
3.897999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.180000019E1
3.997999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.230000019E1
4.097999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.180000019E1
4.197999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.180000019E1
4.297999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.200000000E1
4.397999105E1,3.742433667E1,-1.221713517E2,3.364009773E1,0.000000000E0,7.459999847E1,1.399999976E0,1.050000000E1
4.497999105E1,3.742433833E1,-1.221713267E2,3.444004220E1,2.722880542E-1,9.275000000E1,1.600000024E0,1.069999981E1
4.597999105E1,3.742434167E1,-1.221713083E2,3.463999578E1,3.695705533E-1,8.087999725E1,1.700000048E0,1.119999981E1
4.697999105E1,3.742435000E1,-1.221712967E2,3.493994948E1,4.313372076E-1,6.279000092E1,1.700000048E0,1.160000038E1
4.797999105E1,3.742435167E1,-1.221712883E2,3.523992797E1,4.920744300E-1,8.011000061E1,1.700000048E0,1.150000000E1
4.897999105E1,3.742435500E1,-1.221712883E2,3.543991897E1,5.219283104E-1,9.958999634E1,1.700000048E0,1.100000000E1
4.997999105E1,3.742435833E1,-1.221712867E2,3.523990658E1,5.450908542E-1,6.354999924E1,1.700000048E0,1.010000038E1
5.097999105E1,3.742435667E1,-1.221712833E2,3.483990427E1,5.723711252E-1,8.026999664E1,1.600000024E0,9.199999809E0
