"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108436.831,"2024-12-01 19:00:36.831 UTC-08:00"
"PAUSE",4.989195285E1,1733108486.723,"2024-12-01 19:01:26.723 UTC-08:00"
