"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108827.118,"2024-12-01 19:07:07.118 UTC-08:00"
"PAUSE",4.547001023E1,1733108872.588,"2024-12-01 19:07:52.588 UTC-08:00"
