"Time (s)","Pressure (hPa)"
1.046669629E0,1.016039978E3
1.982474093E0,1.016009949E3
2.918278557E0,1.016039978E3
3.854083021E0,1.016049988E3
4.789887485E0,1.015969971E3
5.725691949E0,1.016019958E3
6.661496413E0,1.016029968E3
7.597300877E0,1.016000000E3
8.533105341E0,1.016009949E3
9.468909805E0,1.016019958E3
1.040471427E1,1.016009949E3
1.134051873E1,1.015989990E3
1.227632320E1,1.016029968E3
1.321212766E1,1.016009949E3
1.414793212E1,1.016000000E3
1.508373659E1,1.015989990E3
1.601954105E1,1.015989990E3
1.695534552E1,1.016000000E3
1.789114998E1,1.016019958E3
1.882695445E1,1.016019958E3
1.976275891E1,1.016039978E3
2.069856337E1,1.016029968E3
2.163436784E1,1.016059998E3
2.257017230E1,1.016039978E3
2.350597676E1,1.016019958E3
2.444178123E1,1.015979980E3
2.537758569E1,1.015989990E3
2.631339016E1,1.016039978E3
2.724919462E1,1.016039978E3
2.818499908E1,1.016029968E3
2.912080355E1,1.016029968E3
3.005660801E1,1.016049988E3
3.099241248E1,1.015949951E3
3.192821694E1,1.015989990E3
3.286402140E1,1.015969971E3
3.379982587E1,1.015949951E3
3.473563033E1,1.015940002E3
3.567143480E1,1.015869995E3
3.660723926E1,1.015879944E3
3.754304373E1,1.015839966E3
3.847884819E1,1.015799988E3
3.941465265E1,1.015789978E3
4.035045712E1,1.015729980E3
4.128626158E1,1.015690002E3
4.222206605E1,1.015629944E3
4.315787051E1,1.015619995E3
4.409367497E1,1.015589966E3
4.502947944E1,1.015589966E3
4.596528390E1,1.015559998E3
4.690108836E1,1.015519958E3
4.783689283E1,1.015559998E3
4.877269729E1,1.015529968E3
4.970850176E1,1.015539978E3
5.064430622E1,1.015579956E3
5.158011068E1,1.015529968E3
5.251591515E1,1.015559998E3
5.345171961E1,1.015599976E3
5.438752408E1,1.015529968E3
