"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.322004130E-1,3.742437500E1,-1.221712233E2,2.983973232E1,2.625083365E-2,1.256600037E2,1.899999976E0,1.000000000E2
1.332200413E0,3.742437500E1,-1.221712217E2,2.983972892E1,1.652258337E-1,3.048999977E1,1.899999976E0,7.850000000E1
1.962200413E0,3.742437667E1,-1.221712217E2,2.983972442E1,3.726588786E-1,2.244000053E1,2.000000000E0,3.429999924E1
2.462200413E0,3.742437667E1,-1.221712233E2,2.973972782E1,3.340547085E-1,3.247600098E2,2.099999905E0,1.410000038E1
2.962200413E0,3.742438000E1,-1.221712283E2,2.973972903E1,7.931869626E-1,3.102999878E2,2.099999905E0,1.410000038E1
3.462200413E0,3.742438500E1,-1.221712333E2,2.973972574E1,6.423733234E-1,3.063800049E2,2.099999905E0,1.450000000E1
3.962200413E0,3.742439333E1,-1.221712350E2,2.963970665E1,7.777453065E-1,3.146600037E2,1.899999976E0,1.480000019E1
4.962200413E0,3.742439667E1,-1.221712467E2,2.943972147E1,8.343647122E-1,3.032799988E2,1.899999976E0,1.539999962E1
5.962200413E0,3.742439500E1,-1.221712533E2,2.933973958E1,5.790625215E-1,2.934400024E2,1.799999952E0,1.560000038E1
6.962200413E0,3.742439000E1,-1.221712500E2,2.923974627E1,8.287027478E-2,2.958399963E2,1.700000048E0,1.610000038E1
7.962200413E0,3.742438833E1,-1.221712533E2,2.933975757E1,4.066305608E-2,1.301000023E1,1.600000024E0,1.689999962E1
8.962200413E0,3.742438667E1,-1.221712567E2,2.933976887E1,5.353111029E-2,4.489999771E0,1.600000024E0,1.610000038E1
9.962200413E0,3.742438333E1,-1.221712583E2,2.933978127E1,3.808944300E-2,3.352399902E2,1.500000000E0,1.510000038E1
1.096220041E1,3.742438167E1,-1.221712600E2,2.933978917E1,4.478083178E-2,3.519200134E2,1.500000000E0,1.539999962E1
1.196220041E1,3.742437833E1,-1.221712600E2,2.923979817E1,3.191277757E-2,1.448800049E2,1.500000000E0,1.489999962E1
1.296220041E1,3.742437500E1,-1.221712600E2,2.913980716E1,3.191277757E-2,3.302600098E2,1.399999976E0,1.460000038E1
1.396220041E1,3.742437333E1,-1.221712600E2,2.913981166E1,4.426611215E-2,3.340000153E1,1.399999976E0,1.369999981E1
1.496220041E1,3.742437000E1,-1.221712600E2,2.913982066E1,2.933916636E-2,1.044199982E2,1.399999976E0,1.319999981E1
1.596220041E1,3.742436833E1,-1.221712583E2,2.913982175E1,7.206111401E-2,1.373000031E2,1.399999976E0,1.330000019E1
1.696220041E1,3.742436333E1,-1.221712533E2,2.913982504E1,7.412000000E-2,1.335500031E2,1.399999976E0,1.319999981E1
1.796220041E1,3.742436167E1,-1.221712517E2,2.913982614E1,4.066305608E-2,1.321900024E2,1.399999976E0,1.419999981E1
