"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110385.923,"2024-12-01 19:33:05.923 UTC-08:00"
"PAUSE",6.646076331E1,1733110452.384,"2024-12-01 19:34:12.384 UTC-08:00"
