"Time (s)","Pressure (hPa)"
1.047170071E0,1.015969971E3
1.982974535E0,1.015919983E3
2.918778999E0,1.016000000E3
3.854583463E0,1.015979980E3
4.790387927E0,1.016019958E3
5.726192391E0,1.015940002E3
6.661996855E0,1.015969971E3
7.597801319E0,1.016000000E3
8.533605783E0,1.016009949E3
9.469410247E0,1.015989990E3
1.040521471E1,1.015979980E3
1.134101918E1,1.015969971E3
1.227682364E1,1.015959961E3
1.321262810E1,1.016000000E3
1.414843257E1,1.015959961E3
1.508423703E1,1.015969971E3
1.602004150E1,1.015979980E3
1.695584596E1,1.015979980E3
1.789165042E1,1.015949951E3
1.882745489E1,1.015969971E3
1.976325935E1,1.015969971E3
2.069906382E1,1.016019958E3
2.163486828E1,1.016029968E3
2.257067274E1,1.016000000E3
2.350647721E1,1.015979980E3
2.444228167E1,1.015959961E3
2.537808614E1,1.015979980E3
2.631389060E1,1.015969971E3
2.724969506E1,1.015959961E3
2.818549953E1,1.015969971E3
2.912130399E1,1.016009949E3
3.005710846E1,1.015979980E3
3.099291292E1,1.015979980E3
3.192871738E1,1.016000000E3
3.286452185E1,1.016009949E3
3.380032631E1,1.015979980E3
3.473613078E1,1.015969971E3
3.567193524E1,1.015989990E3
3.660773970E1,1.015979980E3
3.754354417E1,1.015969971E3
3.847934863E1,1.015959961E3
3.941515310E1,1.015959961E3
4.035095756E1,1.015969971E3
4.128676202E1,1.015979980E3
4.222256649E1,1.016019958E3
4.315837095E1,1.015949951E3
4.409417542E1,1.015979980E3
4.502997988E1,1.015989990E3
4.596578434E1,1.015979980E3
4.690158881E1,1.015979980E3
4.783739327E1,1.015919983E3
4.877319774E1,1.015879944E3
4.970900220E1,1.015859985E3
5.064480666E1,1.015849976E3
5.158061113E1,1.015769958E3
5.251641559E1,1.015769958E3
5.345222006E1,1.015699951E3
5.438802452E1,1.015679993E3
5.532382898E1,1.015629944E3
5.625963345E1,1.015619995E3
5.719543791E1,1.015549988E3
5.813124238E1,1.015569946E3
5.906704684E1,1.015489990E3
6.000285130E1,1.015539978E3
6.093865577E1,1.015519958E3
6.187446023E1,1.015529968E3
6.281026470E1,1.015559998E3
6.374606916E1,1.015559998E3
6.468187362E1,1.015509949E3
6.561767809E1,1.015509949E3
6.655348255E1,1.015579956E3
6.748928702E1,1.015559998E3
6.842509148E1,1.015569946E3
6.936089594E1,1.015529968E3
7.029670041E1,1.015509949E3
7.123250487E1,1.015549988E3
