"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110213.697,"2024-12-01 19:30:13.697 UTC-08:00"
"PAUSE",7.292604454E1,1733110286.623,"2024-12-01 19:31:26.623 UTC-08:00"
