"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109965.868,"2024-12-01 19:26:05.868 UTC-08:00"
"PAUSE",5.546081154E1,1733110021.329,"2024-12-01 19:27:01.329 UTC-08:00"
