"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110052.407,"2024-12-01 19:27:32.407 UTC-08:00"
"PAUSE",5.161929139E1,1733110104.027,"2024-12-01 19:28:24.027 UTC-08:00"
