"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110303.400,"2024-12-01 19:31:43.400 UTC-08:00"
"PAUSE",6.432689846E1,1733110367.727,"2024-12-01 19:32:47.727 UTC-08:00"
