"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.292764767E0,3.742437333E1,-1.221711850E2,2.963965857E1,8.029666543E-2,6.238999939E1,2.000000000E0,1.480000019E1
1.792764767E0,3.742437333E1,-1.221711833E2,2.963965517E1,4.997952878E-1,4.222000122E1,2.000000000E0,1.360000038E1
2.543764767E0,3.742437500E1,-1.221711833E2,2.963965067E1,4.668530524E-1,3.915999985E1,2.000000000E0,1.330000019E1
3.043764767E0,3.742437333E1,-1.221711833E2,2.963965517E1,3.180983365E-1,5.711000061E1,2.000000000E0,1.330000019E1
3.543764767E0,3.742437167E1,-1.221711917E2,2.953967668E1,1.734613925E-1,2.611000061E1,1.899999976E0,1.380000019E1
4.043764767E0,3.742437000E1,-1.221711933E2,2.953968458E1,9.934139252E-2,2.145000076E1,1.799999952E0,1.430000019E1
5.043764767E0,3.742437000E1,-1.221711950E2,2.953968798E1,4.581027851E-2,3.458999939E2,1.700000048E0,1.510000038E1
6.043764767E0,3.742436833E1,-1.221712050E2,2.953971289E1,9.419416636E-2,2.883299866E2,1.600000024E0,1.550000000E1
7.043764767E0,3.742437000E1,-1.221712117E2,2.953972200E1,2.470666729E-2,3.197500000E2,1.600000024E0,1.430000019E1
8.043764767E0,3.742437000E1,-1.221712200E2,2.943973901E1,1.647111028E-2,6.450000000E1,1.500000000E0,1.330000019E1
9.043764767E0,3.742437167E1,-1.221712300E2,2.933975492E1,4.889861122E-2,2.403000031E2,1.500000000E0,1.289999962E1
1.004376477E1,3.742437167E1,-1.221712383E2,2.933977193E1,9.110583365E-2,2.466499939E2,1.500000000E0,1.260000038E1
1.104376477E1,3.742437167E1,-1.221712467E2,2.923978894E1,8.698805422E-2,2.624899902E2,1.399999976E0,1.250000000E1
1.204376477E1,3.742437167E1,-1.221712533E2,2.923980255E1,1.595638879E-2,3.323200073E2,1.399999976E0,1.200000000E1
1.304376477E1,3.742437333E1,-1.221712600E2,2.923981166E1,6.279610842E-2,3.230100098E2,1.399999976E0,1.180000019E1
1.404376477E1,3.742437333E1,-1.221712633E2,2.913981846E1,9.265000001E-3,8.409999847E0,1.399999976E0,1.189999962E1
1.504376477E1,3.742437333E1,-1.221712667E2,2.913982527E1,1.904472150E-2,2.393500061E2,1.299999952E0,1.210000038E1
1.604376477E1,3.742437500E1,-1.221712683E2,2.923982417E1,1.389750000E-2,2.618099976E2,1.299999952E0,1.210000038E1
1.704376477E1,3.742437333E1,-1.221712700E2,2.923983207E1,3.191277757E-2,2.545599976E2,1.299999952E0,1.189999962E1
1.804376477E1,3.742437333E1,-1.221712717E2,2.933983547E1,1.389750000E-2,7.268000031E1,1.299999952E0,1.180000019E1
1.904376477E1,3.742437333E1,-1.221712733E2,2.933983888E1,1.750055514E-2,3.292799988E2,1.299999952E0,1.169999981E1
2.004376477E1,3.742437167E1,-1.221712733E2,2.933984337E1,2.573611215E-3,1.128600006E2,1.299999952E0,1.180000019E1
2.104376477E1,3.742437167E1,-1.221712733E2,2.943984337E1,2.110361122E-2,1.949299927E2,1.200000048E0,1.169999981E1
2.204376477E1,3.742437000E1,-1.221712733E2,2.943984787E1,2.264777757E-2,1.884900055E2,1.200000048E0,1.210000038E1
2.304376477E1,3.742436833E1,-1.221712733E2,2.953985237E1,1.750055514E-2,1.454100037E2,1.200000048E0,1.200000000E1
2.404376477E1,3.742436667E1,-1.221712717E2,2.953985347E1,1.853000000E-2,9.401000214E1,1.200000048E0,1.180000019E1
2.504376477E1,3.742436667E1,-1.221712717E2,2.963985347E1,1.801527850E-2,1.602599945E2,1.200000048E0,1.189999962E1
2.604376477E1,3.742436500E1,-1.221712717E2,2.963985796E1,1.955944486E-2,1.877299957E2,1.200000048E0,1.210000038E1
2.704376477E1,3.742436500E1,-1.221712700E2,2.973985456E1,1.698583364E-2,7.147000122E1,1.200000048E0,1.219999981E1
2.804376477E1,3.742436333E1,-1.221712700E2,2.973985906E1,1.698583364E-2,1.638399963E2,1.200000048E0,1.219999981E1
2.904376477E1,3.742436333E1,-1.221712683E2,2.983985566E1,1.647111028E-2,3.213800049E2,1.200000048E0,1.289999962E1
3.004376477E1,3.742436333E1,-1.221712683E2,2.983985566E1,1.801527850E-2,1.958899994E2,1.200000048E0,1.289999962E1
3.104376477E1,3.742436333E1,-1.221712683E2,2.983985566E1,1.801527850E-2,2.320899963E2,1.200000048E0,1.319999981E1
3.204376477E1,3.742436333E1,-1.221712650E2,2.983984885E1,0.000000000E0,9.091000366E1,1.200000048E0,1.339999962E1
3.304376477E1,3.742436500E1,-1.221712633E2,2.983984095E1,0.000000000E0,6.881999969E1,1.299999952E0,1.389999962E1
3.404376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.299999952E0,1.139999962E1
3.504376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.399999976E0,1.169999981E1
3.604376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.500000000E0,1.180000019E1
3.704376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.600000024E0,1.189999962E1
3.804376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.600000024E0,1.210000038E1
3.904376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.600000024E0,1.160000038E1
4.004376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.600000024E0,1.130000019E1
4.104376477E1,3.742436500E1,-1.221712583E2,2.983983075E1,0.000000000E0,7.237999725E1,1.600000024E0,1.110000038E1
4.204376477E1,3.742438833E1,-1.221712333E2,3.053971675E1,3.119216561E-1,6.437999725E1,1.600000024E0,1.119999981E1
4.304376477E1,3.742438667E1,-1.221712267E2,3.073970764E1,3.592761159E-1,9.108999634E1,1.600000024E0,1.080000019E1
4.404376477E1,3.742438833E1,-1.221712200E2,3.073968953E1,4.194986224E-1,5.909000015E1,1.600000024E0,1.100000000E1
4.504376477E1,3.742438333E1,-1.221712133E2,3.073968942E1,4.673677683E-1,8.025000000E1,1.600000024E0,1.110000038E1
4.604376477E1,3.742438167E1,-1.221712117E2,3.073969051E1,4.931038916E-1,1.041999969E2,1.600000024E0,1.110000038E1
4.704376477E1,3.742438000E1,-1.221712050E2,3.073968140E1,5.188400149E-1,8.483999634E1,1.600000024E0,1.069999981E1
4.804376477E1,3.742438167E1,-1.221712050E2,3.073967690E1,5.353111029E-1,7.633000183E1,1.600000024E0,1.050000000E1
4.904376477E1,3.742437667E1,-1.221712067E2,3.093969380E1,5.337669253E-1,1.113799973E2,1.600000024E0,1.080000019E1
