"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110129.521,"2024-12-01 19:28:49.521 UTC-08:00"
"PAUSE",6.544756647E1,1733110194.968,"2024-12-01 19:29:54.968 UTC-08:00"
