"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.747002400E-1,3.742435000E1,-1.221711617E2,2.953967391E1,0.000000000E0,0.000000000E0,2.000000000E0,1.000000000E2
1.274700240E0,3.742435167E1,-1.221711617E2,2.953966941E1,5.404583365E-2,5.025999832E1,2.000000000E0,2.860000038E1
2.068700240E0,3.742435167E1,-1.221711617E2,2.953966941E1,9.676777571E-2,4.815000153E1,2.099999905E0,1.629999924E1
2.568700240E0,3.742435333E1,-1.221711633E2,2.953966832E1,9.882666916E-2,4.895000076E1,2.099999905E0,1.330000019E1
3.068700240E0,3.742436167E1,-1.221711867E2,2.953969346E1,1.240480542E-1,3.562099915E2,2.000000000E0,1.330000019E1
3.568700240E0,3.742436833E1,-1.221712100E2,2.943972309E1,1.729466617E-1,3.310000000E2,1.899999976E0,1.519999981E1
4.068700240E0,3.742437667E1,-1.221712300E2,2.953974143E1,2.516991794E-1,3.169599915E2,1.799999952E0,1.539999962E1
5.568700240E0,3.742438167E1,-1.221712417E2,2.963975175E1,1.641963869E-1,3.141600037E2,1.700000048E0,1.600000000E1
6.568700240E0,3.742438500E1,-1.221712500E2,2.973975976E1,1.091211140E-1,2.999299927E2,1.600000024E0,1.639999962E1
7.568700240E0,3.742438500E1,-1.221712550E2,2.973976997E1,4.272194579E-2,4.797999954E1,1.600000024E0,1.530000019E1
8.568700240E0,3.742438167E1,-1.221712617E2,2.983979257E1,2.213305607E-2,4.079000092E1,1.500000000E0,1.500000000E1
9.568700240E0,3.742438000E1,-1.221712667E2,2.983980728E1,2.316249907E-2,1.514299927E2,1.500000000E0,1.660000038E1
1.056870024E1,3.742437833E1,-1.221712717E2,2.973982198E1,5.507527664E-2,2.300000000E2,1.399999976E0,1.610000038E1
1.156870024E1,3.742437500E1,-1.221712750E2,2.973983778E1,9.522361308E-2,2.128000031E2,1.399999976E0,1.530000019E1
1.256870024E1,3.742437333E1,-1.221712783E2,2.973984908E1,5.147222057E-2,3.041799927E2,1.399999976E0,1.569999981E1
1.356870024E1,3.742437167E1,-1.221712800E2,2.973985698E1,8.647333086E-2,1.672400055E2,1.399999976E0,1.589999962E1
1.456870024E1,3.742437000E1,-1.221712817E2,2.973986488E1,1.904472150E-2,1.171100006E2,1.299999952E0,1.860000038E1
1.556870024E1,3.742437000E1,-1.221712833E2,2.973986828E1,2.933916636E-2,8.101000214E1,1.299999952E0,1.770000076E1
