"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110469.581,"2024-12-01 19:34:29.581 UTC-08:00"
"PAUSE",7.952679177E1,1733110549.107,"2024-12-01 19:35:49.107 UTC-08:00"
