"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109143.925,"2024-12-01 19:12:23.925 UTC-08:00"
"PAUSE",5.071196554E1,1733109194.637,"2024-12-01 19:13:14.637 UTC-08:00"
