"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.329786366E0,3.742436833E1,-1.221712383E2,3.343978093E1,5.610471964E-1,3.412799988E2,3.299999952E0,3.039999962E1
1.829786366E0,3.742437000E1,-1.221712433E2,3.333978664E1,5.970777869E-1,3.389200134E2,3.299999952E0,1.480000019E1
2.751786366E0,3.742437000E1,-1.221712583E2,3.323981725E1,3.345694542E-1,3.130700073E2,3.000000000E0,9.399999619E0
3.251786366E0,3.742438833E1,-1.221712617E2,3.313977458E1,3.263338804E-1,3.348500061E2,2.299999952E0,9.399999619E0
3.751786366E0,3.742439500E1,-1.221712600E2,3.293975319E1,1.940502822E-1,3.583200073E2,2.000000000E0,9.699999809E0
4.251786366E0,3.742439667E1,-1.221712567E2,3.283974188E1,1.714024991E-1,3.567699890E2,1.799999952E0,1.010000038E1
5.251786366E0,3.742439833E1,-1.221712500E2,3.243972378E1,1.060327813E-1,3.415000153E1,1.700000048E0,1.080000019E1
6.251786366E0,3.742439833E1,-1.221712467E2,3.223971697E1,7.360527664E-2,3.686000061E1,1.600000024E0,1.139999962E1
7.251786366E0,3.742439833E1,-1.221712417E2,3.213970677E1,2.161833271E-2,2.602300110E2,1.500000000E0,1.100000000E1
8.251786366E0,3.742440000E1,-1.221712367E2,3.213969206E1,5.044277757E-2,1.292899933E2,1.500000000E0,1.039999962E1
9.251786366E0,3.742440000E1,-1.221712350E2,3.203968866E1,5.250166729E-2,4.581999969E1,1.399999976E0,1.010000038E1
1.025178637E1,3.742440000E1,-1.221712350E2,3.193968866E1,9.470888972E-2,3.091700134E2,1.399999976E0,1.000000000E1
1.125178637E1,3.742440000E1,-1.221712333E2,3.183968526E1,1.008855551E-1,3.056999969E1,1.399999976E0,9.899999619E0
1.225178637E1,3.742439833E1,-1.221712333E2,3.163968976E1,4.478083178E-2,8.712999725E1,1.399999976E0,9.800000191E0
1.325178637E1,3.742439667E1,-1.221712333E2,3.153969426E1,2.161833271E-2,2.571300049E2,1.299999952E0,1.080000019E1
1.425178637E1,3.742439500E1,-1.221712350E2,3.143970216E1,6.176666822E-3,1.613899994E2,1.299999952E0,1.069999981E1
1.525178637E1,3.742439333E1,-1.221712367E2,3.143971006E1,3.808944300E-2,2.112899933E2,1.299999952E0,1.080000019E1
1.625178637E1,3.742439333E1,-1.221712383E2,3.143971346E1,2.779500000E-2,2.062599945E2,1.299999952E0,1.080000019E1
1.725178637E1,3.742439167E1,-1.221712400E2,3.143972136E1,2.316249907E-2,2.106300049E2,1.299999952E0,1.080000019E1
1.825178637E1,3.742439000E1,-1.221712417E2,3.153972926E1,3.294222057E-2,2.401100006E2,1.299999952E0,1.130000019E1
1.925178637E1,3.742438833E1,-1.221712450E2,3.143974056E1,4.941333458E-2,2.290399933E2,1.299999952E0,1.050000000E1
2.025178637E1,3.742438667E1,-1.221712483E2,3.143975186E1,7.412000000E-2,2.591000061E2,1.299999952E0,1.100000000E1
2.125178637E1,3.742438667E1,-1.221712517E2,3.143975867E1,3.551583365E-2,2.351499939E2,1.299999952E0,1.089999962E1
2.225178637E1,3.742438500E1,-1.221712550E2,3.143976997E1,3.551583365E-2,2.663399963E2,1.299999952E0,1.160000038E1
2.325178637E1,3.742438167E1,-1.221712583E2,3.143978577E1,3.448639065E-2,1.472599945E2,1.299999952E0,1.110000038E1
2.425178637E1,3.742438167E1,-1.221712600E2,3.143978917E1,3.757472336E-2,3.087999878E2,1.299999952E0,1.150000000E1
2.525178637E1,3.742438000E1,-1.221712617E2,3.143979707E1,3.654527664E-2,2.881799927E2,1.299999952E0,1.280000019E1
2.625178637E1,3.742438000E1,-1.221712617E2,3.143979707E1,3.603055701E-2,1.833600006E2,1.299999952E0,1.300000000E1
2.725178637E1,3.742437833E1,-1.221712633E2,3.153980497E1,3.654527664E-2,2.610799866E2,1.299999952E0,1.289999962E1
2.825178637E1,3.742437833E1,-1.221712633E2,3.153980497E1,3.603055701E-2,2.144400024E2,1.299999952E0,1.200000000E1
2.925178637E1,3.742437833E1,-1.221712650E2,3.163980837E1,3.294222057E-2,2.157599945E2,1.299999952E0,1.169999981E1
3.025178637E1,3.742437667E1,-1.221712650E2,3.173981287E1,2.882444486E-2,2.055299988E2,1.299999952E0,1.200000000E1
3.125178637E1,3.742437667E1,-1.221712667E2,3.183981627E1,2.779500000E-2,2.105599976E2,1.299999952E0,1.210000038E1
3.225178637E1,3.742437500E1,-1.221712667E2,3.193982077E1,0.000000000E0,1.475200043E2,1.299999952E0,1.219999981E1
3.325178637E1,3.742437167E1,-1.221712683E2,3.203983317E1,0.000000000E0,1.348899994E2,1.399999976E0,1.089999962E1
3.425178637E1,3.742437000E1,-1.221712683E2,3.213983767E1,0.000000000E0,1.558399963E2,1.399999976E0,1.130000019E1
3.525178637E1,3.742437000E1,-1.221712683E2,3.213983767E1,0.000000000E0,1.558399963E2,1.399999976E0,1.119999981E1
3.625178637E1,3.742437000E1,-1.221712683E2,3.213983767E1,0.000000000E0,1.558399963E2,1.500000000E0,1.169999981E1
3.725178637E1,3.742437000E1,-1.221712683E2,3.213983767E1,0.000000000E0,1.558399963E2,1.600000024E0,1.160000038E1
3.825178637E1,3.742437833E1,-1.221712733E2,3.253982538E1,2.053741664E-1,3.263800049E2,1.600000024E0,1.150000000E1
3.925178637E1,3.742438000E1,-1.221712700E2,3.253981408E1,2.604494393E-1,3.370000000E2,1.700000048E0,1.130000019E1
4.025178637E1,3.742437833E1,-1.221712617E2,3.263980157E1,0.000000000E0,2.653000069E1,1.600000024E0,1.050000000E1
4.125178637E1,3.742437833E1,-1.221712550E2,3.263978796E1,0.000000000E0,7.330999756E1,1.500000000E0,1.069999981E1
4.225178637E1,3.742437667E1,-1.221712483E2,3.263977885E1,0.000000000E0,1.070899963E2,1.500000000E0,1.060000038E1
4.325178637E1,3.742437667E1,-1.221712483E2,3.263977885E1,0.000000000E0,1.070899963E2,1.500000000E0,1.050000000E1
4.425178637E1,3.742437667E1,-1.221712483E2,3.263977885E1,0.000000000E0,1.070899963E2,1.399999976E0,1.019999981E1
4.525178637E1,3.742437667E1,-1.221712483E2,3.263977885E1,0.000000000E0,1.070899963E2,1.399999976E0,1.019999981E1
4.625178637E1,3.742437667E1,-1.221712217E2,3.283972442E1,4.493525028E-1,9.016000366E1,1.399999976E0,1.010000038E1
4.725178637E1,3.742437000E1,-1.221712150E2,3.263972880E1,4.210427701E-1,9.141000366E1,1.399999976E0,1.000000000E1
4.825178637E1,3.742437167E1,-1.221712083E2,3.263971070E1,4.014833272E-1,6.224000168E1,1.399999976E0,1.019999981E1
4.925178637E1,3.742437000E1,-1.221712067E2,3.263971179E1,0.000000000E0,4.963999939E1,1.399999976E0,1.019999981E1
5.025178637E1,3.742436833E1,-1.221712033E2,3.263970949E1,0.000000000E0,7.172000122E1,1.399999976E0,9.899999619E0
