"Time (s)","Pressure (hPa)"
1.046495682E0,1.016009949E3
1.982300146E0,1.015969971E3
2.918104610E0,1.015979980E3
3.853909074E0,1.015949951E3
4.789713538E0,1.015989990E3
5.725518002E0,1.015949951E3
6.661322466E0,1.015949951E3
7.597126930E0,1.015929993E3
8.532931394E0,1.016000000E3
9.468735858E0,1.015989990E3
1.040454032E1,1.015979980E3
1.134034479E1,1.015959961E3
1.227614925E1,1.016000000E3
1.321195371E1,1.015959961E3
1.414775818E1,1.016000000E3
1.508356264E1,1.016029968E3
1.601936711E1,1.015969971E3
1.695517157E1,1.016000000E3
1.789097603E1,1.015949951E3
1.882678050E1,1.016000000E3
1.976258496E1,1.015969971E3
2.069838943E1,1.015979980E3
2.163419389E1,1.015989990E3
2.256999835E1,1.016009949E3
2.350580282E1,1.015949951E3
2.444160728E1,1.015969971E3
2.537741175E1,1.015929993E3
2.631321621E1,1.016009949E3
2.724902067E1,1.015969971E3
2.818482514E1,1.015969971E3
2.912062960E1,1.016029968E3
3.005643407E1,1.015940002E3
3.099223853E1,1.015959961E3
3.192804299E1,1.015959961E3
3.286384746E1,1.015929993E3
3.379965192E1,1.015909973E3
3.473545639E1,1.015859985E3
3.567126085E1,1.015879944E3
3.660706531E1,1.015769958E3
3.754286978E1,1.015769958E3
3.847867424E1,1.015729980E3
3.941447871E1,1.015679993E3
4.035028317E1,1.015659973E3
4.128608763E1,1.015659973E3
4.222189210E1,1.015609985E3
4.315769656E1,1.015529968E3
4.409350103E1,1.015509949E3
4.502930549E1,1.015549988E3
4.596510995E1,1.015549988E3
4.690091442E1,1.015529968E3
4.783671888E1,1.015589966E3
4.877252335E1,1.015589966E3
4.970832781E1,1.015579956E3
5.064413227E1,1.015559998E3
5.157993674E1,1.015579956E3
5.251574120E1,1.015589966E3
5.345154567E1,1.015549988E3
