"event","experiment time","system time","system time text"
"START",0.000000000E0,1733110567.738,"2024-12-01 19:36:07.738 UTC-08:00"
"PAUSE",7.250996539E1,1733110640.248,"2024-12-01 19:37:20.248 UTC-08:00"
