"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109218.784,"2024-12-01 19:13:38.784 UTC-08:00"
"PAUSE",5.816931177E1,1733109276.954,"2024-12-01 19:14:36.954 UTC-08:00"
