"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.340845250E-1,3.742437667E1,-1.221712183E2,3.143971761E1,5.764888972E-2,5.529000092E1,2.000000000E0,1.400000000E1
1.334084525E0,3.742437667E1,-1.221712117E2,3.143970401E1,1.239965796E0,8.456999969E1,2.000000000E0,1.300000000E1
2.230084525E0,3.742438667E1,-1.221711617E2,3.143957496E1,5.202297688E0,7.566999817E1,2.700000048E0,1.080000019E1
2.730084525E0,3.742437833E1,-1.221710850E2,3.143944096E1,8.289601326E0,8.794999695E1,2.799999952E0,1.019999981E1
3.230084525E0,3.742438000E1,-1.221710167E2,3.143929698E1,9.419416428E0,8.841000366E1,2.900000095E0,1.019999981E1
3.730084525E0,3.742441500E1,-1.221709583E2,3.143908347E1,1.008546734E1,7.958999634E1,2.799999952E0,1.060000038E1
4.230084525E0,3.742443500E1,-1.221709500E2,3.133901250E1,8.999403000E0,7.483999634E1,2.799999952E0,1.100000000E1
5.230084525E0,3.742444333E1,-1.221709900E2,3.133907165E1,6.067030907E0,7.030999756E1,2.900000095E0,1.160000038E1
6.230084525E0,3.742440167E1,-1.221711633E2,3.133953788E1,1.229671359E0,6.927999878E1,2.400000095E0,1.250000000E1
7.230084525E0,3.742440167E1,-1.221711917E2,3.123959571E1,3.958213925E-1,6.250999832E1,2.200000048E0,1.530000019E1
8.230084525E0,3.742440000E1,-1.221712000E2,3.123961722E1,2.233894467E-1,6.283000183E1,2.000000000E0,1.319999981E1
9.230084525E0,3.742440000E1,-1.221712133E2,3.123964444E1,6.536972523E-2,6.648999786E1,1.899999976E0,1.269999981E1
1.023008452E1,3.742439833E1,-1.221712217E2,3.123966595E1,2.779500000E-2,3.269899902E2,1.799999952E0,1.239999962E1
1.123008452E1,3.742440000E1,-1.221712283E2,3.123967506E1,8.338499814E-2,4.083000183E1,1.700000048E0,1.239999962E1
1.223008452E1,3.742439833E1,-1.221712317E2,3.123968636E1,7.772305608E-2,6.231000137E1,1.600000024E0,1.239999962E1
1.323008452E1,3.742439833E1,-1.221712367E2,3.113969656E1,3.963360935E-2,8.773999786E1,1.600000024E0,1.250000000E1
1.423008452E1,3.742439667E1,-1.221712400E2,3.113970786E1,2.985388972E-2,7.513999939E1,1.500000000E0,1.250000000E1
1.523008452E1,3.742439500E1,-1.221712433E2,3.113971917E1,2.161833271E-2,8.216999817E1,1.500000000E0,1.239999962E1
1.623008453E1,3.742439333E1,-1.221712467E2,3.113973047E1,5.919305608E-2,3.189999962E1,1.500000000E0,1.219999981E1
1.723008453E1,3.742439333E1,-1.221712483E2,3.113973387E1,1.111800000E-1,2.729999924E1,1.500000000E0,1.250000000E1
1.823008453E1,3.742439167E1,-1.221712483E2,3.103973837E1,8.544389158E-2,2.731999969E1,1.500000000E0,1.500000000E1
1.923008453E1,3.742439167E1,-1.221712500E2,3.103974177E1,4.272194579E-2,5.606000137E1,1.500000000E0,1.410000038E1
2.023008453E1,3.742438833E1,-1.221712533E2,3.103975757E1,2.985388972E-2,1.446300049E2,1.500000000E0,1.319999981E1
2.123008453E1,3.742438500E1,-1.221712550E2,3.113976997E1,5.353111029E-2,1.838999939E2,1.500000000E0,1.380000019E1
2.223008453E1,3.742438667E1,-1.221712567E2,3.113976887E1,5.198694393E-2,8.659999847E0,1.500000000E0,1.289999962E1
2.323008453E1,3.742438667E1,-1.221712583E2,3.103977227E1,5.044277757E-2,2.797999954E1,1.500000000E0,1.289999962E1
2.423008453E1,3.742438500E1,-1.221712583E2,3.103977677E1,5.661944300E-2,4.091999817E1,1.500000000E0,1.300000000E1
2.523008453E1,3.742438500E1,-1.221712583E2,3.093977677E1,6.125194579E-2,4.575999832E1,1.500000000E0,1.280000019E1
2.623008453E1,3.742438500E1,-1.221712583E2,3.093977677E1,6.228138879E-2,5.906999969E1,1.500000000E0,1.280000019E1
2.723008453E1,3.742438500E1,-1.221712567E2,3.083977337E1,5.559000000E-2,1.492899933E2,1.500000000E0,1.339999962E1
