"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109722.581,"2024-12-01 19:22:02.581 UTC-08:00"
"PAUSE",6.318712562E1,1733109785.768,"2024-12-01 19:23:05.768 UTC-08:00"
