"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.318458851E0,3.742437667E1,-1.221711600E2,2.923959854E1,1.544166636E-2,1.158700027E2,1.899999976E0,7.900000000E1
1.818458851E0,3.742437667E1,-1.221711617E2,2.923960195E1,2.851561010E-1,3.290299988E2,2.000000000E0,2.210000038E1
2.318458851E0,3.742437833E1,-1.221711600E2,2.923959405E1,4.910449982E-1,3.136000061E1,2.299999952E0,2.220000076E1
2.818458851E0,3.742437833E1,-1.221711600E2,2.913959405E1,5.167810917E-1,4.397000122E1,2.500000000E0,1.550000000E1
3.318458851E0,3.742437500E1,-1.221711600E2,2.913960304E1,4.472936094E-1,6.426999664E1,2.700000048E0,1.550000000E1
3.818458851E0,3.742436667E1,-1.221711667E2,2.913963914E1,3.103775084E-1,5.597000122E1,2.700000048E0,1.560000038E1
4.818458851E0,3.742436500E1,-1.221711683E2,2.913964704E1,3.211866617E-1,5.661999893E1,2.900000095E0,1.650000000E1
5.818458851E0,3.742433667E1,-1.221712033E2,2.903979494E1,7.000222057E-2,8.048000336E1,2.599999905E0,1.760000038E1
6.818458851E0,3.742432000E1,-1.221712267E2,2.903988755E1,8.287027478E-2,3.256700134E2,2.299999952E0,1.729999924E1
7.818458851E0,3.742431333E1,-1.221712383E2,2.883992936E1,8.647333086E-2,1.800000072E-1,2.099999905E0,2.060000038E1
8.818458851E0,3.742431500E1,-1.221712267E2,2.873990105E1,1.086063907E-1,2.470999908E1,1.899999976E0,1.989999962E1
1.078345885E1,3.742431667E1,-1.221712200E2,2.853988294E1,1.780938953E-1,4.134999847E1,1.899999976E0,2.010000038E1
1.178345885E1,3.742431667E1,-1.221712217E2,2.853988634E1,1.518430561E-1,1.459000015E1,1.899999976E0,2.110000038E1
1.278345885E1,3.742431667E1,-1.221712150E2,2.833987273E1,1.276511103E-1,5.581999969E1,1.799999952E0,1.920000076E1
1.378345885E1,3.742431500E1,-1.221712200E2,2.833988744E1,5.559000000E-2,3.343800049E2,1.799999952E0,1.910000038E1
1.478345885E1,3.742431833E1,-1.221712250E2,2.833988865E1,6.897278130E-2,3.438599854E2,1.700000048E0,1.829999924E1
1.578345885E1,3.742432500E1,-1.221712300E2,2.843988086E1,5.301639065E-2,3.140899963E2,1.700000048E0,1.760000038E1
1.678345885E1,3.742433167E1,-1.221712333E2,2.853986968E1,5.559000000E-2,3.278999939E2,1.600000024E0,1.660000038E1
1.778345885E1,3.742433667E1,-1.221712367E2,2.863986299E1,2.933916636E-2,3.515400085E2,1.600000024E0,1.650000000E1
1.878345885E1,3.742434167E1,-1.221712383E2,2.863985290E1,3.139805421E-2,3.430100098E2,1.600000024E0,1.610000038E1
1.978345885E1,3.742434667E1,-1.221712383E2,2.873983940E1,6.742861122E-2,6.999999881E-1,1.500000000E0,1.530000019E1
2.078345885E1,3.742435000E1,-1.221712383E2,2.883983041E1,4.478083178E-2,4.222000122E1,1.500000000E0,1.519999981E1
2.178345885E1,3.742435333E1,-1.221712383E2,2.893982141E1,6.022249907E-2,1.922999954E1,1.500000000E0,1.589999962E1
2.278345885E1,3.742435667E1,-1.221712383E2,2.893981241E1,5.456055701E-2,2.362000084E1,1.500000000E0,1.550000000E1
2.378345885E1,3.742436000E1,-1.221712383E2,2.903980342E1,5.301639065E-2,1.036999989E1,1.500000000E0,1.519999981E1
2.478345885E1,3.742436167E1,-1.221712383E2,2.903979892E1,5.507527664E-2,1.303999996E1,1.500000000E0,1.569999981E1
2.578345885E1,3.742436333E1,-1.221712383E2,2.913979442E1,5.250166729E-2,7.844000244E1,1.500000000E0,1.510000038E1
2.678345885E1,3.742436333E1,-1.221712383E2,2.903979442E1,5.147222057E-2,3.112000084E1,1.500000000E0,1.489999962E1
2.778345885E1,3.742436333E1,-1.221712400E2,2.903979782E1,5.301639065E-2,1.148199997E2,1.500000000E0,1.450000000E1
2.878345885E1,3.742436500E1,-1.221712400E2,2.893979333E1,5.147222057E-2,2.960000038E1,1.500000000E0,1.489999962E1
2.978345885E1,3.742436667E1,-1.221712400E2,2.893978883E1,5.559000000E-2,1.646999931E1,1.500000000E0,1.439999962E1
3.078345885E1,3.742436333E1,-1.221712400E2,2.893979782E1,8.801750094E-2,1.353500061E2,1.500000000E0,1.500000000E1
3.178345885E1,3.742436000E1,-1.221712367E2,2.893980002E1,1.518430561E-1,1.492100067E2,1.500000000E0,1.580000019E1
3.278345885E1,3.742436167E1,-1.221712333E2,2.893978871E1,1.889030486E-1,1.201999969E2,1.600000024E0,1.689999962E1
3.378345885E1,3.742436000E1,-1.221712333E2,2.903979321E1,0.000000000E0,1.285099945E2,1.700000048E0,1.560000038E1
3.478345885E1,3.742436333E1,-1.221712300E2,2.913977741E1,0.000000000E0,1.068099976E2,1.700000048E0,1.430000019E1
3.578345885E1,3.742436667E1,-1.221712250E2,2.923975821E1,0.000000000E0,9.205999756E1,1.700000048E0,1.419999981E1
3.678345885E1,3.742437000E1,-1.221712217E2,2.933974241E1,3.407461047E-1,8.019000244E1,1.700000048E0,1.450000000E1
3.778345885E1,3.742436833E1,-1.221712167E2,2.943973670E1,3.922183216E-1,9.004000092E1,1.700000048E0,1.439999962E1
3.878345885E1,3.742437333E1,-1.221712133E2,2.953971640E1,4.411169589E-1,8.915000153E1,1.700000048E0,1.460000038E1
3.978345885E1,3.742437500E1,-1.221712100E2,2.953970510E1,4.838388860E-1,8.222000122E1,1.700000048E0,1.260000038E1
