"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.319062202E0,3.742435500E1,-1.221711917E2,3.323972165E1,0.000000000E0,0.000000000E0,2.000000000E0,1.910000038E1
1.819062202E0,3.742435833E1,-1.221711817E2,3.333969225E1,1.754688025E0,7.647000122E1,2.099999905E0,1.150000000E1
2.731062202E0,3.742435667E1,-1.221711683E2,3.323966953E1,1.463355303E0,9.386000061E1,2.299999952E0,9.699999809E0
3.231062202E0,3.742436167E1,-1.221711733E2,3.323966624E1,1.005767226E0,7.588999939E1,2.200000048E0,9.600000381E0
3.731062202E0,3.742436167E1,-1.221711883E2,3.323969686E1,4.792063832E-1,6.873000336E1,2.200000048E0,9.600000381E0
4.231062202E0,3.742436167E1,-1.221711983E2,3.323971727E1,3.983950019E-1,5.970000076E1,2.200000048E0,1.010000038E1
5.231062202E0,3.742435667E1,-1.221712333E2,3.323980221E1,1.816969514E-1,3.316600037E2,2.000000000E0,1.100000000E1
6.231062202E0,3.742434000E1,-1.221712533E2,3.313988801E1,1.714024991E-1,2.587699890E2,1.899999976E0,1.150000000E1
7.231062202E0,3.742433167E1,-1.221712633E2,3.323993092E1,2.249336094E-1,2.527799988E2,1.799999952E0,1.210000038E1
8.231062202E0,3.742432667E1,-1.221712683E2,3.323995462E1,1.101505533E-1,2.317200012E2,1.799999952E0,1.200000000E1
9.231062202E0,3.742432167E1,-1.221712750E2,3.333998172E1,1.132388860E-1,2.143099976E2,1.700000048E0,1.119999981E1
1.023106220E1,3.742432000E1,-1.221712783E2,3.343999302E1,5.404583365E-2,2.176699982E2,1.600000024E0,1.100000000E1
1.123106220E1,3.742432000E1,-1.221712800E2,3.353999642E1,2.933916636E-2,2.446499939E2,1.500000000E0,1.050000000E1
1.223106220E1,3.742432000E1,-1.221712817E2,3.363999983E1,4.272194579E-2,2.159299927E2,1.500000000E0,9.800000191E0
1.323106220E1,3.742432167E1,-1.221712817E2,3.373999533E1,6.125194579E-2,2.971799927E2,1.500000000E0,9.699999809E0
1.423106220E1,3.742432167E1,-1.221712817E2,3.393999533E1,5.919305608E-2,3.014200134E2,1.399999976E0,9.500000000E0
1.523106220E1,3.742432167E1,-1.221712850E2,3.414000213E1,6.125194579E-2,2.617600098E2,1.399999976E0,9.500000000E0
1.623106220E1,3.742432333E1,-1.221712833E2,3.423999423E1,7.103166729E-2,2.739200134E2,1.399999976E0,9.899999619E0
1.723106220E1,3.742432500E1,-1.221712867E2,3.433999654E1,2.933916636E-2,2.612699890E2,1.399999976E0,9.500000000E0
1.823106220E1,3.742432667E1,-1.221712867E2,3.443999204E1,6.073722243E-2,3.318800049E2,1.399999976E0,9.899999619E0
1.923106220E1,3.742432833E1,-1.221712867E2,3.463998754E1,3.603055701E-2,3.372699890E2,1.399999976E0,9.500000000E0
2.023106220E1,3.742432833E1,-1.221712883E2,3.483999094E1,6.228138879E-2,3.307300110E2,1.399999976E0,9.800000191E0
2.123106220E1,3.742433000E1,-1.221712900E2,3.503998985E1,5.353111029E-2,2.639999962E1,1.399999976E0,9.699999809E0
2.223106220E1,3.742433000E1,-1.221712917E2,3.533999325E1,5.456055701E-2,1.950000048E0,1.399999976E0,9.699999809E0
2.323106220E1,3.742432833E1,-1.221712967E2,3.564000795E1,5.507527664E-2,3.061099854E2,1.399999976E0,9.399999619E0
2.423106220E1,3.742432667E1,-1.221713000E2,3.594001926E1,5.250166729E-2,2.782999878E2,1.399999976E0,9.500000000E0
2.523106220E1,3.742432667E1,-1.221713033E2,3.614002606E1,4.838388786E-2,1.374400024E2,1.399999976E0,9.600000381E0
2.623106220E1,3.742432667E1,-1.221713033E2,3.634002606E1,4.478083178E-2,2.603000069E1,1.399999976E0,9.300000191E0
2.723106220E1,3.742432667E1,-1.221713050E2,3.654002946E1,4.478083178E-2,2.951000023E1,1.399999976E0,1.010000038E1
2.823106220E1,3.742433000E1,-1.221713050E2,3.664002047E1,4.375138879E-2,3.594299927E2,1.299999952E0,9.899999619E0
2.923106220E1,3.742433167E1,-1.221713067E2,3.674001937E1,4.169249907E-2,2.902300110E2,1.299999952E0,1.000000000E1
3.023106220E1,3.742433167E1,-1.221713083E2,3.674002277E1,3.963360935E-2,6.656999969E1,1.299999952E0,1.050000000E1
3.123106220E1,3.742433333E1,-1.221713083E2,3.684001827E1,3.911888972E-2,9.872000122E1,1.299999952E0,1.039999962E1
3.223106220E1,3.742433333E1,-1.221713100E2,3.694002168E1,0.000000000E0,3.444400024E2,1.299999952E0,1.010000038E1
3.323106220E1,3.742433333E1,-1.221713133E2,3.704002848E1,0.000000000E0,3.064299927E2,1.299999952E0,1.030000019E1
