"event","experiment time","system time","system time text"
"START",0.000000000E0,1733109534.102,"2024-12-01 19:18:54.102 UTC-08:00"
"PAUSE",7.772898947E1,1733109611.831,"2024-12-01 19:20:11.831 UTC-08:00"
