"Time (s)","Pressure (hPa)"
1.045694502E0,1.016190002E3
1.981498966E0,1.016179993E3
2.917303430E0,1.016199951E3
3.853107894E0,1.016219971E3
4.788912358E0,1.016219971E3
5.724716822E0,1.016179993E3
6.660521286E0,1.016179993E3
7.596325750E0,1.016179993E3
8.532130214E0,1.016219971E3
9.467934678E0,1.016199951E3
1.040373914E1,1.016169983E3
1.133954361E1,1.016219971E3
1.227534807E1,1.016149963E3
1.321115253E1,1.016139954E3
1.414695700E1,1.016190002E3
1.508276146E1,1.016219971E3
1.601856593E1,1.016199951E3
1.695437039E1,1.016169983E3
1.789017485E1,1.016169983E3
1.882597932E1,1.016179993E3
1.976178378E1,1.016209961E3
2.069758825E1,1.016229980E3
2.163339271E1,1.016219971E3
2.256919717E1,1.016179993E3
2.350500164E1,1.016199951E3
2.444080610E1,1.016239990E3
2.537661057E1,1.016169983E3
2.631241503E1,1.016190002E3
2.724821949E1,1.016149963E3
2.818402396E1,1.016169983E3
2.911982842E1,1.016149963E3
3.005563289E1,1.016109985E3
3.099143735E1,1.016099976E3
3.192724181E1,1.016059998E3
3.286304628E1,1.016049988E3
3.379885074E1,1.016049988E3
3.473465521E1,1.015969971E3
3.567045967E1,1.015940002E3
3.660626413E1,1.015969971E3
3.754206860E1,1.015929993E3
3.847787306E1,1.015879944E3
3.941367753E1,1.015889954E3
4.034948199E1,1.015899963E3
4.128528645E1,1.015859985E3
4.222109092E1,1.015739990E3
4.315689538E1,1.015789978E3
4.409269985E1,1.015779968E3
4.502850431E1,1.015739990E3
4.596430877E1,1.015759949E3
4.690011324E1,1.015759949E3
4.783591770E1,1.015759949E3
4.877172217E1,1.015759949E3
4.970752663E1,1.015799988E3
5.064333109E1,1.015769958E3
