"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.274301860E-1,3.742436667E1,-1.221711683E2,2.963964254E1,4.683972150E-2,9.237999725E1,1.899999976E0,1.000000000E2
1.327430186E0,3.742436500E1,-1.221711717E2,2.963965384E1,7.422294617E-1,2.564400024E2,1.899999976E0,2.429999924E1
2.211430186E0,3.742437167E1,-1.221711733E2,2.963963925E1,9.764280319E-1,3.550499878E2,2.099999905E0,1.110000038E1
2.711430186E0,3.742436667E1,-1.221711833E2,2.953967316E1,6.624475121E-1,2.967600098E2,1.899999976E0,1.239999962E1
3.211430186E0,3.742436667E1,-1.221711933E2,2.973969357E1,4.287635982E-1,3.118500061E2,1.799999952E0,1.250000000E1
3.711430186E0,3.742436500E1,-1.221712083E2,2.973972869E1,3.803797364E-1,3.025199890E2,1.700000048E0,1.250000000E1
4.211430186E0,3.742436167E1,-1.221712217E2,2.963976490E1,2.933916748E-1,2.970899963E2,1.600000024E0,1.280000019E1
5.711430186E0,3.742436333E1,-1.221712333E2,2.953978422E1,2.125802785E-1,2.488200073E2,1.600000024E0,1.300000000E1
6.711430186E0,3.742436500E1,-1.221712400E2,2.943979333E1,6.176666543E-2,2.319999933E0,1.600000024E0,1.230000019E1
7.711430186E0,3.742436500E1,-1.221712367E2,2.913978652E1,3.397166729E-2,1.302700043E2,1.500000000E0,1.200000000E1
8.711430186E0,3.742436667E1,-1.221712367E2,2.903978202E1,6.691388786E-2,5.354999924E1,1.500000000E0,1.460000038E1
9.711430186E0,3.742436667E1,-1.221712383E2,2.903978543E1,1.955944486E-2,2.401999969E2,1.399999976E0,1.389999962E1
1.071143019E1,3.742436667E1,-1.221712400E2,2.903978883E1,3.397166729E-2,7.319999695E1,1.399999976E0,1.319999981E1
1.171143019E1,3.742436667E1,-1.221712417E2,2.913979223E1,5.301639065E-2,2.353099976E2,1.399999976E0,1.230000019E1
1.271143019E1,3.742436500E1,-1.221712433E2,2.933980013E1,2.933916636E-2,1.260899963E2,1.299999952E0,1.180000019E1
1.371143019E1,3.742436667E1,-1.221712467E2,2.933980244E1,4.581027851E-2,2.048999977E1,1.299999952E0,1.200000000E1
1.471143019E1,3.742436667E1,-1.221712483E2,2.943980584E1,2.007416636E-2,3.576400146E2,1.299999952E0,1.160000038E1
1.571143019E1,3.742436833E1,-1.221712483E2,2.953980134E1,2.625083365E-2,1.154899979E2,1.299999952E0,1.130000019E1
1.671143019E1,3.742436833E1,-1.221712500E2,2.953980474E1,3.345694393E-2,1.187300034E2,1.299999952E0,1.110000038E1
1.771143019E1,3.742436833E1,-1.221712483E2,2.953980134E1,4.220722243E-2,1.083300018E2,1.299999952E0,1.339999962E1
1.871143019E1,3.742436833E1,-1.221712467E2,2.943979794E1,2.573611028E-2,2.247799988E2,1.299999952E0,1.610000038E1
1.971143019E1,3.742437000E1,-1.221712467E2,2.943979344E1,7.720833179E-3,2.370200043E2,1.299999952E0,1.480000019E1
2.071143019E1,3.742437000E1,-1.221712467E2,2.943979344E1,2.882444486E-2,3.363299866E2,1.299999952E0,1.360000038E1
2.171143019E1,3.742437000E1,-1.221712450E2,2.943979004E1,2.779500000E-2,1.413099976E2,1.299999952E0,1.350000000E1
2.271143019E1,3.742437000E1,-1.221712433E2,2.943978664E1,2.573611028E-2,1.105000000E2,1.299999952E0,1.280000019E1
2.371143019E1,3.742437000E1,-1.221712417E2,2.933978323E1,2.213305607E-2,1.604900055E2,1.299999952E0,1.289999962E1
2.471143019E1,3.742437000E1,-1.221712383E2,2.943977643E1,3.242750093E-2,1.649299927E2,1.299999952E0,1.280000019E1
2.571143019E1,3.742437000E1,-1.221712367E2,2.933977303E1,4.786916822E-2,1.191399994E2,1.299999952E0,1.339999962E1
2.671143019E1,3.742437167E1,-1.221712367E2,2.933976853E1,6.485500187E-2,1.110800018E2,1.399999976E0,1.430000019E1
2.771143019E1,3.742437333E1,-1.221712367E2,2.933976403E1,7.412000000E-2,7.894999695E1,1.399999976E0,1.539999962E1
2.871143019E1,3.742437500E1,-1.221712400E2,2.933976634E1,7.978194207E-2,7.087999725E1,1.500000000E0,1.569999981E1
2.971143019E1,3.742437667E1,-1.221712367E2,2.933975504E1,9.985610843E-2,7.879000092E1,1.600000024E0,1.610000038E1
3.071143019E1,3.742437667E1,-1.221712333E2,2.943974823E1,1.271363944E-1,8.419999695E1,1.600000024E0,1.550000000E1
3.171143019E1,3.742437833E1,-1.221712317E2,2.953974033E1,0.000000000E0,7.581999969E1,1.600000024E0,1.569999981E1
3.271143019E1,3.742437833E1,-1.221712250E2,2.953972672E1,0.000000000E0,8.927999878E1,1.600000024E0,1.139999962E1
3.371143019E1,3.742437667E1,-1.221712217E2,2.953972442E1,0.000000000E0,1.006200027E2,1.600000024E0,1.119999981E1
3.471143019E1,3.742437667E1,-1.221712217E2,2.953972442E1,0.000000000E0,1.006200027E2,1.600000024E0,1.060000038E1
3.571143019E1,3.742437667E1,-1.221712217E2,2.953972442E1,0.000000000E0,1.006200027E2,1.500000000E0,1.050000000E1
3.671143019E1,3.742437667E1,-1.221712217E2,2.953972442E1,0.000000000E0,1.006200027E2,1.500000000E0,1.080000019E1
3.771143019E1,3.742436833E1,-1.221712083E2,2.953971969E1,3.366283476E-1,1.203000031E2,1.500000000E0,1.060000038E1
3.871143019E1,3.742436833E1,-1.221712083E2,2.933971969E1,0.000000000E0,1.240400009E2,1.500000000E0,1.010000038E1
3.971143019E1,3.742437167E1,-1.221712017E2,2.913969709E1,0.000000000E0,8.238999939E1,1.500000000E0,1.019999981E1
4.071143019E1,3.742437333E1,-1.221711983E2,2.903968579E1,4.076600075E-1,8.048000336E1,1.500000000E0,1.010000038E1
4.171143019E1,3.742437833E1,-1.221711950E2,2.903966549E1,4.267047346E-1,6.231999969E1,1.500000000E0,1.019999981E1
4.271143019E1,3.742438000E1,-1.221711967E2,2.913966439E1,4.261899889E-1,5.202999878E1,1.500000000E0,1.010000038E1
4.371143019E1,3.742438167E1,-1.221712000E2,2.923966670E1,4.056011140E-1,3.481000137E1,1.500000000E0,1.039999962E1
4.471143019E1,3.742437833E1,-1.221712017E2,2.923967910E1,0.000000000E0,1.320599976E2,1.399999976E0,1.019999981E1
4.571143019E1,3.742437833E1,-1.221712050E2,2.933968590E1,0.000000000E0,1.182600021E2,1.399999976E0,9.899999619E0
4.671143019E1,3.742438000E1,-1.221712100E2,2.933969161E1,0.000000000E0,7.659999847E1,1.399999976E0,9.699999809E0
4.771143019E1,3.742438000E1,-1.221712100E2,2.933969161E1,0.000000000E0,7.659999847E1,1.399999976E0,9.699999809E0
