"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.328369019E0,3.742434500E1,-1.221711883E2,3.143974184E1,4.272194579E-2,4.272999954E1,1.899999976E0,2.179999924E1
1.828369019E0,3.742434500E1,-1.221711900E2,3.143974524E1,3.088333271E-2,2.286000061E1,1.899999976E0,1.889999962E1
2.369369019E0,3.742434667E1,-1.221711900E2,3.143974074E1,5.816360936E-2,6.513999939E1,1.899999976E0,1.929999924E1
2.869369019E0,3.742434667E1,-1.221711933E2,3.143974754E1,2.882444486E-2,1.844000053E1,1.899999976E0,1.960000038E1
3.369369019E0,3.742435167E1,-1.221711767E2,3.133970003E1,1.271363944E-1,5.456999969E1,1.899999976E0,2.020000076E1
3.869369019E0,3.742436167E1,-1.221711867E2,3.133969346E1,9.573833644E-2,2.011000061E1,1.799999952E0,2.129999924E1
5.369369019E0,3.742437333E1,-1.221712017E2,3.133969259E1,1.394897252E-1,3.597399902E2,1.700000048E0,2.150000000E1
6.369369019E0,3.742438000E1,-1.221712167E2,3.133970522E1,1.044886112E-1,2.098999977E1,1.700000048E0,2.200000000E1
7.369369019E0,3.742438333E1,-1.221712283E2,3.143972003E1,4.478083178E-2,2.431499939E2,1.600000024E0,1.889999962E1
8.369369019E0,3.742438500E1,-1.221712367E2,3.143973255E1,4.838388786E-2,1.674900055E2,1.600000024E0,1.760000038E1
9.369369019E0,3.742438667E1,-1.221712433E2,3.153974166E1,1.019150019E-1,2.800000000E1,1.500000000E0,1.710000038E1
1.036936902E1,3.742438667E1,-1.221712433E2,3.153974166E1,1.080916673E-1,2.754000092E1,1.500000000E0,1.689999962E1
1.136936902E1,3.742438333E1,-1.221712467E2,3.153975746E1,7.926721871E-2,1.340000000E2,1.500000000E0,1.689999962E1
1.236936902E1,3.742438167E1,-1.221712467E2,3.153976195E1,4.735444486E-2,4.188000107E1,1.500000000E0,1.700000000E1
1.336936902E1,3.742438000E1,-1.221712517E2,3.143977666E1,5.816360936E-2,4.122999954E1,1.500000000E0,1.689999962E1
1.436936902E1,3.742438000E1,-1.221712550E2,3.143978346E1,2.110361122E-2,3.647999954E1,1.399999976E0,1.510000038E1
1.536936902E1,3.742437833E1,-1.221712600E2,3.133979817E1,4.889861122E-2,3.552600098E2,1.399999976E0,1.500000000E1
1.636936902E1,3.742437667E1,-1.221712633E2,3.123980947E1,5.353111029E-2,3.562399902E2,1.399999976E0,1.460000038E1
1.736936902E1,3.742437500E1,-1.221712683E2,3.123982417E1,3.757472336E-2,3.385499878E2,1.399999976E0,1.469999981E1
1.836936902E1,3.742437500E1,-1.221712700E2,3.113982757E1,8.544389158E-2,3.337900085E2,1.399999976E0,1.500000000E1
1.936936902E1,3.742437333E1,-1.221712733E2,3.113983888E1,4.889861122E-2,3.003099976E2,1.399999976E0,1.500000000E1
2.036936902E1,3.742437167E1,-1.221712750E2,3.103984678E1,2.830972150E-2,9.670000076E0,1.399999976E0,1.430000019E1
2.136936902E1,3.742437167E1,-1.221712783E2,3.103985358E1,4.375138879E-2,2.617099915E2,1.399999976E0,1.460000038E1
2.236936902E1,3.742437167E1,-1.221712800E2,3.093985698E1,3.963360935E-2,1.403000031E2,1.399999976E0,1.439999962E1
2.336936902E1,3.742437167E1,-1.221712833E2,3.083986379E1,3.911888972E-2,3.394599915E2,1.399999976E0,1.469999981E1
2.436936902E1,3.742437167E1,-1.221712850E2,3.073986719E1,4.220722243E-2,3.417000122E2,1.299999952E0,1.450000000E1
2.536936902E1,3.742437167E1,-1.221712883E2,3.063987399E1,3.808944300E-2,2.723200073E2,1.299999952E0,1.489999962E1
2.636936902E1,3.742437000E1,-1.221712900E2,3.053988189E1,3.448639065E-2,1.968200073E2,1.299999952E0,1.519999981E1
2.736936902E1,3.742436833E1,-1.221712933E2,3.043989319E1,3.654527664E-2,2.084100037E2,1.299999952E0,1.560000038E1
2.836936902E1,3.742436833E1,-1.221712933E2,3.033989319E1,3.397166729E-2,2.694400024E2,1.299999952E0,1.650000000E1
2.936936902E1,3.742436833E1,-1.221712933E2,3.033989319E1,3.345694393E-2,2.438699951E2,1.399999976E0,1.670000076E1
3.036936902E1,3.742436833E1,-1.221712933E2,3.023989319E1,3.500111029E-2,2.601499939E2,1.399999976E0,1.739999962E1
3.136936902E1,3.742436833E1,-1.221712933E2,3.023989319E1,3.654527664E-2,3.081799927E2,1.399999976E0,1.779999924E1
3.236936902E1,3.742436833E1,-1.221712933E2,3.023989319E1,0.000000000E0,1.463000011E1,1.399999976E0,2.150000000E1
3.336936902E1,3.742437000E1,-1.221712917E2,3.023988529E1,0.000000000E0,1.930999947E1,1.399999976E0,2.129999924E1
3.436936902E1,3.742437000E1,-1.221712883E2,3.023987849E1,0.000000000E0,9.215000153E1,1.399999976E0,2.150000000E1
3.536936902E1,3.742437000E1,-1.221712883E2,3.023987849E1,0.000000000E0,9.215000153E1,1.500000000E0,1.779999924E1
3.636936902E1,3.742437000E1,-1.221712883E2,3.023987849E1,0.000000000E0,9.215000153E1,1.500000000E0,1.810000038E1
3.736936902E1,3.742436667E1,-1.221712783E2,3.003986707E1,2.172127813E-1,1.055299988E2,1.600000024E0,1.960000038E1
3.836936902E1,3.742436667E1,-1.221712733E2,2.993985687E1,2.728027701E-1,9.951999664E1,1.700000048E0,1.939999962E1
3.936936902E1,3.742436500E1,-1.221712683E2,2.993985116E1,3.283927739E-1,9.719000244E1,1.799999952E0,1.800000000E1
4.036936902E1,3.742436500E1,-1.221712567E2,2.993982735E1,3.891299963E-1,9.148000336E1,1.799999952E0,1.689999962E1
4.136936902E1,3.742436833E1,-1.221712450E2,3.013979454E1,4.503819346E-1,8.516000366E1,1.899999976E0,1.689999962E1
4.236936902E1,3.742436833E1,-1.221712317E2,3.033976732E1,5.147222281E-1,8.619999695E1,1.899999976E0,1.469999981E1
4.336936902E1,3.742436500E1,-1.221712250E2,3.033976271E1,5.692827702E-1,9.487999725E1,1.799999952E0,1.410000038E1
4.436936902E1,3.742436667E1,-1.221712167E2,3.063974120E1,6.109752655E-1,9.543000031E1,1.799999952E0,1.410000038E1
4.536936902E1,3.742436000E1,-1.221712150E2,3.063975579E1,6.356819272E-1,9.536000061E1,1.899999976E0,1.219999981E1
4.637036902E1,3.742435667E1,-1.221712117E2,3.073975798E1,6.017102599E-1,9.261000061E1,1.799999952E0,1.169999981E1
4.737036902E1,3.742435833E1,-1.221712067E2,3.063974328E1,5.759741664E-1,8.497000122E1,1.700000048E0,1.150000000E1
4.837036902E1,3.742435833E1,-1.221712033E2,3.073973647E1,5.589883327E-1,7.936000061E1,1.700000048E0,1.089999962E1
4.937036902E1,3.742436000E1,-1.221712033E2,3.063973197E1,5.311933160E-1,8.151000214E1,1.600000024E0,1.069999981E1
5.037036902E1,3.742436167E1,-1.221711967E2,3.063971387E1,4.941333234E-1,7.804000092E1,1.600000024E0,1.069999981E1
