"event","experiment time","system time","system time text"
"START",0.000000000E0,1733108511.868,"2024-12-01 19:01:51.868 UTC-08:00"
"PAUSE",5.626134023E1,1733108568.129,"2024-12-01 19:02:48.129 UTC-08:00"
