"Time (s)","Pressure (hPa)"
1.046432282E0,1.016239990E3
1.982236746E0,1.016259949E3
2.918041210E0,1.016269958E3
3.853845674E0,1.016259949E3
4.789650138E0,1.016259949E3
5.725454602E0,1.016309998E3
6.661259066E0,1.016279968E3
7.597063530E0,1.016250000E3
8.532867994E0,1.016289978E3
9.468672458E0,1.016289978E3
1.040447692E1,1.016299988E3
1.134028139E1,1.016239990E3
1.227608585E1,1.016269958E3
1.321189031E1,1.016299988E3
1.414769478E1,1.016279968E3
1.508349924E1,1.016229980E3
1.601930371E1,1.016259949E3
1.695510817E1,1.016259949E3
1.789091263E1,1.016239990E3
1.882671710E1,1.016299988E3
1.976252156E1,1.016279968E3
2.069832603E1,1.016279968E3
2.163413049E1,1.016269958E3
2.256993495E1,1.016289978E3
2.350573942E1,1.016250000E3
2.444154388E1,1.016289978E3
2.537734835E1,1.016269958E3
2.631315281E1,1.016319946E3
2.724895727E1,1.016289978E3
2.818476174E1,1.016259949E3
2.912056620E1,1.016259949E3
3.005637067E1,1.016289978E3
3.099217513E1,1.016259949E3
3.192797959E1,1.016279968E3
3.286378406E1,1.016269958E3
3.379958852E1,1.016289978E3
3.473539299E1,1.016269958E3
3.567119745E1,1.016250000E3
3.660700191E1,1.016239990E3
3.754280638E1,1.016250000E3
3.847861084E1,1.016259949E3
3.941441531E1,1.016250000E3
4.035021977E1,1.016209961E3
4.128602423E1,1.016159973E3
4.222182870E1,1.016169983E3
4.315763316E1,1.016159973E3
4.409343763E1,1.016149963E3
4.502924209E1,1.016149963E3
4.596504655E1,1.016159973E3
4.690085102E1,1.016139954E3
4.783665548E1,1.016149963E3
4.877245995E1,1.016119995E3
4.970826441E1,1.016039978E3
5.064406887E1,1.016059998E3
5.157987334E1,1.016029968E3
5.251567780E1,1.016039978E3
5.345148227E1,1.015989990E3
5.438728673E1,1.015969971E3
5.532309119E1,1.015969971E3
5.625889566E1,1.015899963E3
5.719470012E1,1.015879944E3
5.813050459E1,1.015829956E3
5.906630905E1,1.015819946E3
6.000211351E1,1.015839966E3
6.093791798E1,1.015829956E3
6.187372244E1,1.015859985E3
6.280952691E1,1.015849976E3
6.374533137E1,1.015829956E3
6.468113583E1,1.015839966E3
6.561694030E1,1.015839966E3
6.655274476E1,1.015779968E3
6.748854923E1,1.015879944E3
6.842435369E1,1.015849976E3
6.936015815E1,1.015839966E3
7.029596262E1,1.015799988E3
7.123176708E1,1.015809998E3
7.216757155E1,1.015839966E3
7.310337601E1,1.015829956E3
7.403918047E1,1.015849976E3
7.497498494E1,1.015819946E3
7.591078940E1,1.015819946E3
7.684659387E1,1.015819946E3
7.778239833E1,1.015849976E3
7.871820279E1,1.015849976E3
